,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jimmy Butler,110.0,117.0,74.0,36.0,75.0,95.0,0,36.0,49.0,109.0,34.0,103.0,69.0,139.0,33.0,51.0,58.0,64.0,70.0,119.0,75.0,100.0,0,32.0,56.0,116.0,62.0,143.0,73.0,89.0
1,Tobias Harris,143.0,71.0,72.0,106.0,107.0,39.0,141.0,131.0,66.0,160.0,95.0,35.0,0.0,105.0,69.0,131.0,102.0,74.0,148.0,35.0,147.0,130.0,58.0,112.0,144.0,131.0,144.0,54.0,32.0,67.0
2,Ben Simmons,138.0,158.0,131.0,95.0,151.0,106.0,67.0,69.0,100.0,79.0,61.0,140.0,68.0,66.0,76.0,94.0,109.0,63.0,69.0,125.0,77.0,79.0,0,73.0,61.0,78.0,65.0,146.0,67.0,88.0
3,Boban Marjanovic,38.0,15.0,18.0,35.0,11.0,14.0,22.0,47.0,17.0,3.0,9.0,0.0,0.0,40.0,19.0,60.0,14.0,25.0,21.0,14.0,26.0,32.0,28.0,36.0,37.0,33.0,16.0,33.0,4.0,16.0
4,T.J. McConnell,67.0,68.0,68.0,71.0,29.0,47.0,46.0,42.0,81.0,35.0,45.0,63.0,28.0,38.0,66.0,48.0,34.0,33.0,31.0,81.0,36.0,72.0,0,37.0,45.0,39.0,47.0,82.0,23.0,69.0
5,Furkan Korkmaz,9.0,22.0,45.0,26.0,16.0,22.0,28.0,21.0,30.0,0.0,11.0,31.0,12.0,18.0,38.0,30.0,6.0,10.0,5.0,49.0,0.0,22.0,0,46.0,22.0,3.0,18.0,46.0,26.0,70.0
6,Jonathon Simmons,21.0,38.0,24.0,51.0,23.0,39.0,26.0,32.0,29.0,44.0,22.0,23.0,21.0,54.0,0.0,119.0,36.0,21.0,13.0,65.0,17.0,39.0,19.0,41.0,62.0,37.0,34.0,30.0,21.0,64.0
7,Joel Embiid,64.0,156.0,134.0,61.0,116.0,96.0,35.0,33.0,105.0,34.0,27.0,133.0,68.0,63.0,77.0,36.0,108.0,27.0,32.0,123.0,34.0,100.0,0,72.0,0.0,75.0,66.0,142.0,59.0,80.0
8,Zhaire Smith,0.0,0.0,0.0,48.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,J.J. Redick,126.0,135.0,128.0,79.0,136.0,89.0,62.0,60.0,135.0,63.0,56.0,131.0,69.0,57.0,65.0,66.0,95.0,58.0,72.0,120.0,68.0,125.0,0,64.0,54.0,31.0,59.0,92.0,65.0,19.0
10,Mike Scott,95.0,34.0,48.0,72.0,52.0,30.0,61.0,53.0,24.0,76.0,53.0,26.0,0.0,47.0,29.0,30.0,76.0,37.0,64.0,19.0,52.0,82.0,20.0,37.0,78.0,69.0,52.0,42.0,6.0,33.0
11,James Ennis,27.0,16.0,19.0,60.0,22.0,72.0,78.0,87.0,62.0,41.0,14.0,66.0,23.0,67.0,16.0,8.0,27.0,41.0,46.0,35.0,41.0,38.0,31.0,34.0,37.0,75.0,31.0,27.0,58.0,31.0
12,Amir Johnson,21.0,11.0,17.0,60.0,39.0,16.0,5.0,19.0,47.0,0.0,22.0,23.0,12.0,0.0,24.0,20.0,7.0,19.0,12.0,12.0,14.0,46.0,0,6.0,16.0,0.0,8.0,16.0,16.0,21.0
13,Jonah Bolden,46.0,1.0,0.0,45.0,23.0,3.0,59.0,11.0,2.0,36.0,34.0,14.0,15.0,0.0,15.0,28.0,20.0,47.0,18.0,18.0,33.0,7.0,0,16.0,38.0,13.0,20.0,36.0,13.0,29.0
14,Shake Milton,0.0,0.0,21.0,52.0,0.0,6.0,28.0,20.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,4.0,0.0,22.0,0,0.0,0.0,20.0,8.0,4.0,0.0,41.0
15,Haywood Highsmith,0.0,0.0,0.0,15.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16,Greg Monroe,23.0,15.0,16.0,63.0,4.0,14.0,3.0,13.0,21.0,7.0,7.0,51.0,27.0,0.0,11.0,30.0,12.0,0.0,2.0,2.0,0.0,10.0,45.0,12.0,13.0,12.0,21.0,0.0,31.0,15.0
