,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jimmy Butler,-4.5,-4.9,7.5,9.4,7.3,-0.8,0,13.4,27.9,-4.9,-1.6,11.8,2.8,17.4,11.6,-1.8,-14.6,17.5,-0.1,35.4,-1.7,-8.4,0,-3.2,-26.8,5.0,-22.9,-1.1,14.0,10.1
1,Tobias Harris,-6.7,-5.8,13.6,4.5,8.4,7.6,-5.6,1.3,-23.9,-5.1,-5.2,-0.1,0.0,1.3,14.0,0.1,-2.3,6.4,0.7,39.4,2.4,4.1,-3.3,14.4,-8.6,22.7,-5.7,-38.4,-48.5,5.7
2,Ben Simmons,4.0,-4.5,4.9,13.2,0.4,11.1,-6.0,-5.3,13.2,-0.5,2.2,7.6,-1.4,14.4,-8.6,1.4,-8.2,26.9,5.8,13.7,-6.3,-12.0,0,3.6,-23.6,-8.8,-16.7,0.3,19.6,14.3
3,Boban Marjanovic,0.7,-11.0,1.9,31.1,12.7,0.0,7.5,-4.1,-5.9,-57.1,-55.5,0.0,0.0,-2.1,26.1,-14.2,35.3,-2.6,4.6,22.2,24.8,3.8,2.0,20.0,-26.9,3.9,-61.1,-1.3,-43.1,25.0
4,T.J. McConnell,-5.4,-10.2,-15.0,21.0,-14.2,3.8,2.3,-14.8,-9.1,16.7,9.9,5.6,4.7,12.7,15.2,-23.1,-2.7,24.8,-13.4,26.3,-1.3,-17.7,0,0.4,-31.2,15.3,-23.9,2.3,11.1,14.4
5,Furkan Korkmaz,-9.5,-6.5,-5.4,30.0,7.9,14.4,5.6,-9.7,9.8,0.0,32.2,-25.3,4.6,25.7,5.3,-2.3,17.0,66.4,-39.7,3.7,0.0,11.6,0,22.5,-24.0,-25.0,-15.7,0.1,0.1,12.4
6,Jonathon Simmons,12.7,-6.7,26.4,9.2,-28.7,-0.1,-14.7,-8.1,-41.9,10.9,-22.2,-18.8,-21.3,17.4,0.0,-2.0,-33.0,6.6,15.9,-9.1,-10.9,2.3,18.8,-23.5,-2.2,-34.0,-29.9,-8.2,47.1,1.7
7,Joel Embiid,12.5,0.8,10.9,28.5,-1.4,1.5,12.6,15.2,13.8,1.4,40.0,11.6,7.4,36.0,10.7,14.9,-0.8,36.9,-17.5,12.2,22.2,-12.5,0,17.4,0.0,-4.7,-5.2,-7.4,22.7,16.3
8,Zhaire Smith,0.0,0.0,0.0,32.0,0.0,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.9,20.1,0.0,0.0,0.0,0.0,15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,J.J. Redick,1.0,-2.9,6.6,20.0,9.7,17.2,-5.8,-6.1,3.5,-4.3,18.1,8.3,2.8,24.0,5.9,5.2,0.7,22.2,-8.7,11.8,1.4,4.5,0,14.8,-33.1,-7.3,-4.5,0.5,25.4,34.0
10,Mike Scott,2.8,-8.0,7.3,11.6,15.0,1.5,-12.5,0.4,19.2,-7.1,3.4,33.9,0.0,1.4,-16.9,-31.1,2.4,4.8,3.3,-23.5,0.9,9.9,-32.7,7.8,0.8,-6.0,-4.7,0.3,33.3,10.3
11,James Ennis,-4.4,3.5,8.6,2.3,13.1,3.2,-18.4,4.7,-13.4,25.7,-42.9,-4.7,29.5,0.3,14.4,23.5,-2.9,13.3,-12.2,-13.7,-10.3,9.2,-31.6,19.4,27.0,14.1,-4.8,1.8,-3.1,-20.6
12,Amir Johnson,0.2,-47.8,-44.2,6.3,-3.1,35.7,39.1,-7.8,-6.1,0.0,-6.6,6.8,-18.9,0.0,-31.0,18.7,-41.2,1.3,65.6,0.0,-17.8,22.2,0,-61.9,-30.2,0.0,-21.9,-2.5,-26.5,-15.8
13,Jonah Bolden,1.7,-66.7,0.0,6.1,10.2,80.0,-13.7,-44.9,-61.9,4.7,-12.3,52.5,18.9,0.0,36.7,-42.9,6.7,40.7,-4.7,-7.9,-13.0,-17.0,0,-6.4,-25.9,3.7,-26.9,13.9,21.2,-23.4
14,Shake Milton,0.0,0.0,10.1,6.2,0.0,50.0,-22.8,9.5,-116.7,0.0,0.0,-14.3,0.0,0.0,0.0,8.6,-5.0,0.0,0.0,12.5,0.0,-34.2,0,0.0,0.0,18.6,-21.9,20.0,0.0,1.1
15,Haywood Highsmith,0.0,0.0,0.0,-44.6,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-29.5
16,Greg Monroe,-32.5,-14.8,35.9,4.2,0.0,-11.1,-47.6,-59.1,-18.9,36.6,-61.0,0.0,3.4,0.0,27.4,26.2,-29.2,0.0,66.7,-20.0,0.0,-42.7,-27.9,-38.6,-46.3,60.0,-2.4,0.0,-21.5,3.1
