,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,T.J. Warren,0,2.0,2.0,1.0,2.0,0,3.0,3.0,1.0,2.0,0,2.0,3.0,1.0,1.0,0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,0,0,1.0,3.0,2.0,0,1.0
1,Devin Booker,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,0,2.0,2.0,2.0,2.0,3.0,2.0
2,Kelly Oubre Jr.,3.0,2.0,4.0,0.0,2.0,3.0,2.0,3.0,0.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,0,4.0,3.0,1.0,3.0,2.0,1.0
3,Richaun Holmes,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0,2.0,4.0,4.0,2.0,4.0,2.0
4,Tyler Johnson,3.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0
5,Troy Daniels,1.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0,3.0,3.0,3.0,0.0,4.0,1.0
6,Dragan Bender,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0,3.0,3.0,4.0,0.0,4.0,1.0
7,Josh Jackson,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,0,3.0,3.0,4.0,2.0,3.0,1.0
8,Deandre Ayton,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,0,2.0,4.0,3.0,2.0,3.0,2.0
9,Mikal Bridges,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,0,3.0,4.0,4.0,2.0,4.0,2.0
10,George King,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0
11,Elie Okobo,1.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,0.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0,2.0,3.0,2.0,2.0,4.0,1.0
12,De'Anthony Melton,1.0,1.0,1.0,1.0,2.0,0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,0,3.0,3.0,3.0,1.0,2.0,2.0
13,Jamal Crawford,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,0,3.0,3.0,3.0,1.0,2.0,2.0
14,Ray Spalding,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
15,Jimmer Fredette,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,2.0,0.0
