,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,T.J. Warren,0,78.0,42.0,33.0,71.0,0,99.0,99.0,15.0,59.0,0,69.0,75.0,29.0,18.0,0,31.0,86.0,37.0,39.0,134.0,36.0,59.0,0,0,36.0,98.0,64.0,0,53.0
1,Devin Booker,79.0,80.0,66.0,74.0,50.0,73.0,33.0,103.0,70.0,112.0,70.0,63.0,105.0,122.0,78.0,33.0,79.0,93.0,109.0,71.0,109.0,40.0,72.0,0,61.0,74.0,77.0,71.0,84.0,92.0
2,Kelly Oubre Jr.,90.0,65.0,98.0,0.0,47.0,83.0,55.0,74.0,0.0,119.0,92.0,61.0,93.0,61.0,29.0,64.0,33.0,55.0,131.0,84.0,57.0,78.0,46.0,0,133.0,79.0,31.0,74.0,63.0,42.0
3,Richaun Holmes,34.0,31.0,33.0,15.0,31.0,37.0,50.0,35.0,37.0,31.0,29.0,37.0,82.0,67.0,16.0,42.0,31.0,23.0,37.0,40.0,45.0,35.0,36.0,0,33.0,76.0,70.0,26.0,81.0,46.0
4,Tyler Johnson,76.0,43.0,31.0,53.0,49.0,114.0,0.0,19.0,56.0,62.0,32.0,86.0,69.0,64.0,59.0,32.0,78.0,27.0,54.0,56.0,22.0,65.0,27.0,22.0,80.0,57.0,32.0,29.0,53.0,82.0
5,Troy Daniels,6.0,0.0,14.0,16.0,10.0,25.0,36.0,30.0,21.0,25.0,42.0,5.0,45.0,32.0,26.0,49.0,6.0,17.0,48.0,19.0,17.0,16.0,18.0,0,36.0,62.0,35.0,0.0,80.0,22.0
6,Dragan Bender,17.0,0.0,0.0,24.0,3.0,37.0,36.0,35.0,32.0,48.0,57.0,5.0,12.0,35.0,34.0,0,12.0,59.0,88.0,20.0,7.0,0.0,0.0,0,68.0,63.0,30.0,0.0,74.0,31.0
7,Josh Jackson,53.0,33.0,30.0,45.0,60.0,64.0,134.0,100.0,48.0,87.0,96.0,42.0,84.0,112.0,67.0,49.0,39.0,77.0,120.0,51.0,76.0,66.0,39.0,0,76.0,90.0,111.0,30.0,93.0,17.0
8,Deandre Ayton,66.0,70.0,64.0,68.0,53.0,35.0,83.0,92.0,57.0,133.0,66.0,59.0,115.0,90.0,97.0,54.0,65.0,26.0,81.0,54.0,135.0,66.0,60.0,0,59.0,112.0,92.0,70.0,94.0,65.0
9,Mikal Bridges,70.0,46.0,64.0,71.0,57.0,65.0,82.0,113.0,73.0,112.0,117.0,53.0,113.0,112.0,82.0,68.0,55.0,98.0,130.0,54.0,108.0,55.0,49.0,0,79.0,125.0,119.0,41.0,139.0,67.0
10,George King,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6.0,0.0,0,0.0
11,Elie Okobo,31.0,11.0,13.0,0.0,25.0,16.0,57.0,60.0,0.0,24.0,44.0,21.0,87.0,51.0,40.0,22.0,0.0,10.0,34.0,2.0,44.0,53.0,18.0,0,56.0,64.0,48.0,31.0,87.0,10.0
12,De'Anthony Melton,14.0,16.0,25.0,22.0,40.0,0,65.0,63.0,21.0,29.0,22.0,22.0,52.0,24.0,18.0,30.0,0.0,57.0,73.0,28.0,34.0,22.0,23.0,0,46.0,76.0,63.0,16.0,41.0,42.0
13,Jamal Crawford,7.0,15.0,18.0,46.0,23.0,44.0,65.0,35.0,41.0,45.0,76.0,22.0,52.0,54.0,50.0,43.0,37.0,68.0,47.0,41.0,75.0,31.0,22.0,0,63.0,43.0,57.0,4.0,24.0,62.0
14,Ray Spalding,0,0.0,0.0,3.0,0.0,5.0,18.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,2.0,0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,20.0,7.0
15,Jimmer Fredette,0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,0.0,36.0,0.0
