,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,T.J. Warren,0,-0.6,-11.1,-6.8,-7.1,0,-3.5,-4.7,-12.8,-27.3,0,-24.8,-23.2,-10.5,-37.8,0,-2.0,-8.1,-19.9,30.3,-14.8,-10.1,-9.9,0,0,6.5,1.3,1.6,0,-10.3
1,Devin Booker,-5.8,-4.3,-8.2,-14.4,1.5,-14.6,36.3,-23.8,-11.8,-5.7,-16.5,-31.4,-24.5,-0.7,1.0,-4.2,16.9,-14.2,-8.9,17.2,-21.1,-7.9,-10.7,0,-27.1,-12.0,13.6,-1.0,-4.5,4.9
2,Kelly Oubre Jr.,-2.9,10.2,-6.1,0.0,-8.8,-8.3,-15.6,-9.1,0.0,-21.9,-6.1,2.3,-21.4,8.6,-5.3,-4.8,29.6,-9.0,-8.2,3.0,-31.3,10.7,-36.2,0,7.0,2.3,-3.0,-3.4,-40.9,-4.0
3,Richaun Holmes,-1.4,18.9,-42.1,-6.2,3.4,29.2,3.7,-31.2,-16.7,-23.6,-10.1,-2.2,-8.3,-9.3,-2.9,-1.3,-34.3,-4.3,-19.6,21.9,-8.2,17.1,7.8,0,-31.5,-1.3,-23.0,-15.1,-13.6,20.3
4,Tyler Johnson,-5.0,17.8,7.1,-7.3,-15.2,8.8,0.0,-15.8,18.7,-8.8,-12.3,-19.9,-12.4,-14.3,2.1,0.2,-9.8,-1.1,-9.2,15.5,-21.2,8.4,5.7,-8.6,3.2,-5.0,-1.3,-3.6,-45.3,3.7
5,Troy Daniels,54.5,0.0,35.7,-22.8,-33.3,-2.0,-10.4,-6.3,-14.3,-13.6,-27.3,-40.0,-12.3,-34.1,6.9,11.7,-13.5,-23.8,-13.7,5.3,12.8,-9.7,51.2,0,28.8,-15.7,-24.2,0.0,-31.3,16.7
6,Dragan Bender,22.5,0.0,0.0,-18.4,-33.3,-6.8,-8.5,-52.0,-29.1,8.9,-20.0,-40.0,-24.5,-9.9,-1.4,0,-20.8,-14.8,-4.3,7.7,-8.3,0.0,0.0,0,-9.7,12.8,-20.2,0.0,-4.0,-13.6
7,Josh Jackson,-4.4,21.9,-33.6,-4.6,-7.8,-4.4,1.4,-21.8,-5.4,-2.7,-29.6,-16.5,-8.9,-13.7,-21.0,-3.6,-14.4,2.3,3.3,23.2,-17.8,-8.9,15.3,0,-34.5,-11.5,-16.5,-13.0,-29.2,8.8
8,Deandre Ayton,-9.2,-7.7,-4.7,-8.5,-30.1,-28.9,4.2,7.3,-18.7,-4.0,-6.5,-31.9,-19.6,2.2,0.0,-12.7,25.2,20.8,-13.7,16.7,-12.0,-24.7,-10.9,0,-18.0,-16.1,0.5,1.1,-30.0,-16.3
9,Mikal Bridges,-15.4,1.1,-18.3,-10.1,-16.8,12.8,-8.8,-10.0,-11.6,-4.4,-16.9,-24.8,-14.1,-3.8,-7.7,-7.2,17.3,-2.9,6.5,3.6,3.5,-14.2,1.7,0,-10.1,-9.5,-3.1,3.3,-25.4,-7.9
10,George King,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-72.7,0.0,0,0.0
11,Elie Okobo,12.1,1.1,-59.1,0.0,-42.4,-22.6,-12.5,-14.8,0.0,40.5,-30.0,-4.6,-9.6,-17.9,-20.7,10.6,0.0,-12.0,-3.3,-133.3,3.9,11.0,24.4,0,0.8,-21.1,-24.1,-17.6,-17.4,-16.7
12,De'Anthony Melton,35.0,-8.6,-3.9,-25.2,-28.1,0,-3.0,-2.8,-13.5,-33.7,-13.3,-61.7,-3.2,9.6,17.1,-30.6,0.0,-2.6,-2.2,16.1,-15.6,-52.2,-42.5,0,-10.8,28.2,-15.3,-9.0,-26.7,-3.6
13,Jamal Crawford,-57.9,34.4,-23.1,-9.6,1.9,9.9,2.0,-27.3,-40.8,-36.9,-17.5,-4.4,-7.7,-51.8,-25.3,-13.7,-28.7,-11.6,-12.0,11.0,-10.8,-24.7,-45.1,0,-27.2,-39.5,2.6,50.0,-16.1,5.8
14,Ray Spalding,0,0.0,0.0,-120.0,0.0,-57.3,-11.1,0.0,26.7,0.0,-32.3,0.0,0.0,0.0,-100.0,0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,-150.0,113.3,-23.6,0.0,0.0,-26.8,35.7
15,Jimmer Fredette,0,0.0,0.0,0.0,0.0,67.4,27.6,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-77.8,0.0,0.0,-56.1,0.0
