,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Damian Lillard,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,0,2.0,4.0,2.0,4.0,2.0
1,CJ McCollum,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,0,2.0,4.0,2.0,4.0,2.0
2,Al-Farouq Aminu,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,0,2.0,4.0,2.0,4.0,2.0
3,Evan Turner,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,0,2.0,3.0,1.0,4.0,2.0
4,Jake Layman,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,0,2.0,3.0,1.0,4.0,2.0
5,Meyers Leonard,2.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,0,3.0,3.0,2.0,4.0,1.0
6,Skal Labissiere,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0
7,Maurice Harkless,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,0,1.0,4.0,2.0,4.0,1.0
8,Zach Collins,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,0,3.0,3.0,2.0,4.0,2.0
9,Anfernee Simons,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0
10,Jusuf Nurkic,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,0,2.0,4.0,2.0,3.0,2.0
11,Gary Trent Jr.,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
12,Seth Curry,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,0,2.0,4.0,2.0,4.0,1.0
13,Rodney Hood,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0
14,Enes Kanter,4.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0
