,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Damian Lillard,32.0,73.0,84.0,62.0,64.0,69.0,143.0,155.0,73.0,146.0,102.0,73.0,145.0,145.0,138.0,72.0,67.0,135.0,103.0,69.0,160.0,74.0,57.0,86.0,0,79.0,145.0,67.0,142.0,79.0
1,CJ McCollum,37.0,72.0,31.0,31.0,63.0,65.0,107.0,100.0,0.0,136.0,107.0,33.0,141.0,132.0,104.0,75.0,69.0,92.0,100.0,76.0,152.0,64.0,62.0,56.0,0,69.0,125.0,68.0,132.0,78.0
2,Al-Farouq Aminu,60.0,58.0,53.0,50.0,60.0,58.0,113.0,121.0,58.0,112.0,95.0,55.0,115.0,113.0,102.0,38.0,57.0,118.0,91.0,62.0,134.0,57.0,49.0,65.0,0,64.0,111.0,48.0,102.0,72.0
3,Evan Turner,28.0,27.0,21.0,43.0,21.0,21.0,88.0,97.0,29.0,85.0,75.0,41.0,89.0,88.0,96.0,52.0,53.0,92.0,67.0,56.0,55.0,54.0,23.0,43.0,0,41.0,58.0,21.0,89.0,52.0
4,Jake Layman,45.0,27.0,37.0,36.0,44.0,42.0,51.0,49.0,38.0,48.0,41.0,26.0,39.0,64.0,47.0,45.0,24.0,69.0,47.0,39.0,74.0,6.0,40.0,85.0,0,70.0,66.0,27.0,61.0,39.0
5,Meyers Leonard,17.0,18.0,0.0,37.0,11.0,20.0,38.0,51.0,9.0,44.0,19.0,3.0,48.0,20.0,36.0,41.0,31.0,59.0,14.0,39.0,43.0,19.0,17.0,20.0,0,77.0,32.0,40.0,73.0,4.0
6,Skal Labissiere,10.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,19.0,0.0,11.0,0.0,5.0,0.0,8.0,29.0,8.0,0.0,18.0,5.0,3.0,4.0,0,41.0,0.0,0.0,5.0,0.0
7,Maurice Harkless,61.0,37.0,68.0,20.0,22.0,26.0,98.0,65.0,55.0,95.0,31.0,27.0,73.0,52.0,83.0,29.0,13.0,45.0,21.0,9.0,84.0,33.0,22.0,61.0,0,33.0,98.0,54.0,83.0,19.0
8,Zach Collins,34.0,20.0,15.0,51.0,34.0,30.0,65.0,60.0,24.0,63.0,49.0,48.0,75.0,73.0,63.0,32.0,42.0,90.0,60.0,35.0,37.0,39.0,29.0,67.0,0,50.0,34.0,31.0,71.0,32.0
9,Anfernee Simons,3.0,0.0,1.0,9.0,7.0,2.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,12.0,13.0,3.0,0.0,0.0,0.0,10.0,9.0,0,48.0,1.0,0.0,0.0,5.0
10,Jusuf Nurkic,34.0,57.0,62.0,21.0,59.0,58.0,102.0,54.0,31.0,121.0,87.0,48.0,93.0,82.0,82.0,47.0,46.0,75.0,76.0,50.0,130.0,63.0,45.0,70.0,0,66.0,121.0,46.0,84.0,63.0
11,Gary Trent Jr.,4.0,0.0,0.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,4.0,7.0,0,48.0,1.0,0.0,0.0,0.0
12,Seth Curry,62.0,40.0,55.0,47.0,25.0,34.0,70.0,59.0,64.0,65.0,64.0,42.0,69.0,72.0,57.0,35.0,12.0,37.0,50.0,22.0,48.0,36.0,42.0,69.0,0,43.0,57.0,37.0,67.0,18.0
13,Rodney Hood,80.0,65.0,118.0,111.0,112.0,18.0,80.0,115.0,109.0,56.0,44.0,89.0,0.0,79.0,50.0,56.0,49.0,93.0,28.0,23.0,106.0,31.0,89.0,9.0,25.0,15.0,50.0,107.0,42.0,46.0
14,Enes Kanter,107.0,109.0,129.0,63.0,61.0,51.0,50.0,86.0,87.0,45.0,0.0,73.0,20.0,64.0,83.0,19.0,99.0,26.0,68.0,0.0,60.0,64.0,76.0,44.0,56.0,0.0,14.0,20.0,17.0,49.0
