,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Damian Lillard,25.6,17.8,23.5,19.4,22.4,24.1,5.2,1.2,-7.5,-2.3,18.0,5.0,5.2,-0.5,-0.7,-14.0,-7.4,4.9,19.1,14.8,-2.5,22.6,41.5,37.0,0,9.4,6.5,-10.2,5.5,6.0
1,CJ McCollum,30.4,15.4,16.4,4.6,33.1,35.0,-6.3,5.8,0.0,-5.1,14.8,-7.8,10.8,2.1,-11.1,-6.0,-12.9,8.4,17.1,10.7,-8.1,15.9,33.4,18.5,0,4.2,12.2,-10.0,-0.4,11.5
2,Al-Farouq Aminu,31.7,20.6,33.7,16.9,33.9,27.4,13.5,6.1,-5.7,-5.8,22.9,5.8,9.8,5.6,-1.5,-20.2,-21.3,0.2,20.9,2.5,-4.0,13.5,25.2,25.9,0,3.7,5.5,-23.9,1.9,9.1
3,Evan Turner,-21.0,-0.8,-51.3,9.3,33.8,2.6,-2.2,-13.0,13.1,-12.4,-7.2,31.9,-1.9,-13.0,13.4,-15.3,13.7,9.9,16.8,11.1,-25.2,1.4,30.1,27.8,0,-16.2,6.3,40.7,-8.0,-2.7
4,Jake Layman,-2.2,-21.4,-13.3,8.3,5.4,17.2,-7.0,-13.6,10.6,11.1,-2.7,-15.2,24.3,0.0,-10.8,-5.6,-34.3,0.7,8.6,-0.7,4.3,1.5,10.6,13.1,0,5.3,7.8,16.8,12.0,1.1
5,Meyers Leonard,-5.6,-8.7,0.0,27.2,31.5,-8.6,-33.0,-26.6,-19.0,-23.2,-29.9,-100.0,-11.0,15.9,9.9,6.7,-10.6,5.9,-17.9,13.8,-19.1,-15.1,61.1,-34.8,0,2.6,-35.2,7.5,1.3,-100.0
6,Skal Labissiere,-1.9,0.0,0.0,-12.5,0.0,0.0,0.0,63.6,0.0,50.0,-0.4,0.0,69.2,0.0,0.0,0.0,-32.7,-13.7,17.9,0.0,-11.4,-25.0,-71.4,-102.3,0,-10.0,0.0,0.0,-8.3,0.0
7,Maurice Harkless,31.5,21.9,30.5,51.4,24.3,22.0,5.2,0.9,-1.8,-6.7,-2.2,9.3,19.1,5.6,2.9,-37.7,-28.4,14.2,-21.7,33.3,-0.6,9.6,46.9,21.6,0,18.1,2.5,-19.6,5.9,-7.3
8,Zach Collins,-10.8,-7.9,-25.0,19.8,-10.0,2.4,-8.8,-17.6,-0.6,15.0,-36.8,38.6,-7.3,-14.4,9.1,-17.0,-7.0,15.4,19.0,16.8,-34.1,-4.3,35.5,15.1,0,-3.1,-16.2,42.8,-25.0,-18.4
9,Anfernee Simons,14.3,0.0,100.0,-36.8,8.1,-70.0,-78.2,-91.9,0.0,50.0,33.3,0.0,0.0,0.0,9.1,0.0,-52.0,32.1,-31.0,0.0,0.0,0.0,-26.5,-45.5,0,5.1,-150.0,0.0,0.0,-59.8
10,Jusuf Nurkic,31.4,20.9,20.9,-7.1,35.8,36.3,14.4,2.8,6.0,-5.5,28.9,-8.8,20.8,-3.0,-8.6,-10.8,-4.8,14.1,17.9,-0.9,1.8,17.1,40.3,29.8,0,2.9,13.7,-17.3,-7.0,17.5
11,Gary Trent Jr.,53.3,0.0,0.0,-33.3,8.1,-70.0,-5.9,0.0,0.0,0.0,0.0,0.0,50.0,0.0,23.9,0.0,0.0,16.7,33.3,0.0,0.0,0.0,-62.5,-50.8,0,5.1,-150.0,0.0,0.0,0.0
12,Seth Curry,15.4,-6.0,-16.3,26.4,13.3,3.0,-18.8,-1.5,1.0,8.7,-10.2,20.4,6.2,9.7,28.8,2.8,17.7,42.4,3.7,0.0,-21.4,9.1,21.7,18.2,0,-15.4,-15.0,26.4,-25.2,-13.4
13,Rodney Hood,29.8,-34.8,-15.5,-1.4,-7.4,0.3,8.7,-4.8,-15.0,24.6,2.9,-9.2,0.0,-4.4,3.9,-14.5,-29.7,-1.7,27.4,-19.5,-19.4,2.0,-10.8,29.1,-36.2,-23.4,-1.1,-14.3,-29.1,-17.1
14,Enes Kanter,8.6,-16.4,-7.0,12.8,-39.1,3.1,-5.4,5.6,-2.3,-16.3,0.0,0.1,-5.6,14.1,16.0,-58.1,-15.7,3.2,0.5,0.0,-15.9,-19.5,-18.7,9.7,14.8,0.0,-33.7,-42.3,-94.1,-7.1
