,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Alec Burks,1.0,7.0,1.0,4.0,1.0,0,3.0,2.0,0,3.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,0,2.0,1.0,1.0,4.0,0,3.0,2.0,3.0
1,Willie Cauley-Stein,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,2.0,3.0,2.0
2,Kosta Koufos,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0
3,Harrison Barnes,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0
4,Buddy Hield,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,2.0,4.0,2.0
5,Caleb Swanigan,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
6,Harry Giles,2.0,2.0,2.0,2.0,2.0,0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0
7,De'Aaron Fox,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,1.0,4.0,2.0
8,Bogdan Bogdanovic,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,0.0,3.0,2.0,3.0,1.0
9,Frank Mason III,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0
10,Marvin Bagley III,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0
11,Nemanja Bjelica,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,0.0,3.0,1.0,4.0,2.0
12,Yogi Ferrell,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,0.0,2.0,1.0,3.0,2.0
13,Wenyen Gabriel,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
14,Troy Williams,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1.0,2.0,1.0
15,Corey Brewer,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
16,B.J. Johnson,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
