,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Alec Burks,40.0,137.0,29.0,87.0,25.0,0,65.0,29.0,0,40.0,45.0,84.0,14.0,55.0,58.0,102.0,56.0,8.0,77.0,26.0,16.0,0,38.0,21.0,24.0,94.0,0,79.0,53.0,74.0
1,Willie Cauley-Stein,45.0,55.0,46.0,47.0,59.0,58.0,94.0,75.0,49.0,112.0,85.0,64.0,116.0,110.0,137.0,58.0,51.0,78.0,115.0,55.0,115.0,47.0,63.0,95.0,79.0,0.0,90.0,58.0,96.0,59.0
2,Kosta Koufos,16.0,0.0,0.0,22.0,0.0,30.0,23.0,12.0,5.0,15.0,30.0,33.0,15.0,35.0,15.0,12.0,16.0,56.0,26.0,0.0,13.0,26.0,0.0,43.0,8.0,0.0,18.0,20.0,12.0,0.0
3,Harrison Barnes,31.0,134.0,73.0,62.0,55.0,68.0,67.0,75.0,75.0,142.0,131.0,32.0,144.0,129.0,37.0,37.0,72.0,70.0,162.0,139.0,114.0,28.0,59.0,132.0,83.0,29.0,104.0,60.0,124.0,66.0
4,Buddy Hield,59.0,74.0,63.0,58.0,63.0,62.0,109.0,91.0,66.0,132.0,131.0,67.0,130.0,123.0,143.0,70.0,65.0,107.0,128.0,71.0,129.0,64.0,66.0,111.0,83.0,0.0,92.0,71.0,119.0,69.0
5,Caleb Swanigan,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,25.0,19.0,8.0,5.0,7.0,0.0,11.0,16.0,15.0,0.0,0.0,0,10.0,12.0,18.0,0.0,3.0,0.0,26.0,0.0
6,Harry Giles,26.0,41.0,38.0,23.0,33.0,0,8.0,46.0,41.0,40.0,24.0,1.0,46.0,2.0,18.0,17.0,27.0,36.0,29.0,41.0,49.0,17.0,33.0,36.0,32.0,0.0,31.0,23.0,37.0,25.0
7,De'Aaron Fox,56.0,73.0,64.0,59.0,61.0,63.0,98.0,81.0,59.0,131.0,115.0,69.0,122.0,136.0,142.0,64.0,63.0,104.0,133.0,70.0,148.0,53.0,64.0,124.0,86.0,0.0,95.0,36.0,108.0,69.0
8,Bogdan Bogdanovic,29.0,46.0,51.0,53.0,56.0,51.0,87.0,56.0,44.0,128.0,112.0,64.0,125.0,113.0,71.0,34.0,43.0,70.0,79.0,66.0,49.0,32.0,49.0,99.0,94.0,0.0,77.0,55.0,89.0,25.0
9,Frank Mason III,16.0,0.0,2.0,15.0,2.0,7.0,0.0,27.0,4.0,7.0,32.0,15.0,8.0,16.0,25.0,18.0,22.0,38.0,21.0,0.0,16.0,27.0,0.0,20.0,18.0,0.0,17.0,17.0,37.0,8.0
10,Marvin Bagley III,52.0,19.0,49.0,48.0,48.0,46.0,52.0,56.0,47.0,73.0,109.0,10.0,47.0,58.0,72.0,37.0,38.0,80.0,93.0,0.0,86.0,43.0,53.0,61.0,54.0,0.0,52.0,63.0,99.0,23.0
11,Nemanja Bjelica,45.0,57.0,33.0,40.0,36.0,55.0,90.0,73.0,40.0,73.0,58.0,47.0,76.0,96.0,128.0,44.0,21.0,71.0,69.0,53.0,76.0,52.0,31.0,94.0,69.0,0.0,74.0,19.0,95.0,72.0
12,Yogi Ferrell,35.0,10.0,20.0,12.0,34.0,17.0,46.0,55.0,30.0,48.0,75.0,1.0,36.0,33.0,34.0,27.0,25.0,62.0,67.0,25.0,48.0,26.0,32.0,50.0,60.0,0.0,32.0,39.0,71.0,17.0
13,Wenyen Gabriel,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
14,Troy Williams,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0,8.0,15.0,30.0,23.0,8.0,19.0,0.0,16.0,49.0,3.0,0.0,19.0,34.0,0.0,22.0,11.0,0.0,0,14.0,17.0,12.0
15,Corey Brewer,0.0,20.0,13.0,22.0,0.0,11.0,15.0,32.0,0,23.0,62.0,0.0,19.0,38.0,0.0,0.0,20.0,24.0,28.0,25.0,0.0,0,15.0,13.0,23.0,6.0,48.0,0.0,19.0,15.0
16,B.J. Johnson,0.0,0.0,6.0,19.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
