,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Alec Burks,0.0,-10.7,20.9,-19.9,-14.3,0,-20.2,-16.1,0,-36.5,-16.2,-18.7,32.3,13.2,-11.2,-12.0,-15.4,-76.5,-25.3,3.7,11.4,0,-35.9,14.2,-31.7,12.7,0,-4.2,-39.3,5.0
1,Willie Cauley-Stein,11.0,2.4,-23.3,27.3,-5.0,24.1,15.4,-11.3,26.9,-12.0,-29.9,-18.2,-11.9,-5.1,7.2,19.1,-7.0,-12.4,0.5,6.9,-3.9,24.0,-9.9,4.3,11.3,0.0,6.1,-6.5,6.1,8.9
2,Kosta Koufos,24.5,0.0,0.0,14.5,0.0,-4.5,10.4,-4.2,-60.0,26.5,13.3,10.6,-27.2,-52.9,-16.5,-31.7,-1.3,7.4,-26.3,0.0,6.5,31.4,0.0,27.5,-66.9,0.0,37.6,-30.9,-30.8,0.0
3,Harrison Barnes,-7.6,0.8,-0.7,9.5,4.3,5.9,24.7,9.1,-12.0,2.9,-13.4,-19.8,2.9,-16.2,-16.7,7.5,-4.1,1.4,-0.5,7.0,-4.6,28.6,-32.5,11.4,6.0,-17.0,-2.0,-22.2,-3.0,-2.8
4,Buddy Hield,30.6,9.4,-20.0,42.5,1.6,15.6,21.7,-13.8,19.1,-7.9,-31.0,-11.9,-13.2,-11.0,-1.4,9.7,-8.0,-14.3,-8.0,12.7,1.3,16.6,0.9,3.7,2.5,0.0,7.4,0.8,-5.1,8.9
5,Caleb Swanigan,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,-30.0,-2.0,0.0,-20.8,-133.6,16.7,0.0,-56.5,13.2,-0.3,0.0,0.0,0,-26.5,-62.8,-22.2,0.0,-66.7,0.0,-5.7,0.0
6,Harry Giles,40.7,-10.1,9.7,31.9,0.1,0,-20.0,-27.4,-13.0,21.0,-17.3,150.0,9.5,-40.0,-50.4,-11.7,-24.2,-25.6,-23.8,8.1,10.8,-15.4,16.7,-28.2,32.8,0.0,9.5,-16.2,-38.6,-13.7
7,De'Aaron Fox,29.3,2.6,-7.8,22.7,-2.3,29.7,18.3,-13.1,19.7,-8.9,-27.4,-15.4,-18.6,-7.2,6.2,7.1,-7.9,1.0,-2.5,18.7,1.8,-2.6,-6.5,11.1,4.5,0.0,2.6,-8.1,2.8,8.3
8,Bogdan Bogdanovic,21.7,-13.8,-3.8,35.4,-5.0,14.3,-6.8,-16.0,3.5,9.0,-25.4,11.3,-19.7,1.2,4.1,15.5,9.7,3.7,8.4,-5.7,-7.6,18.7,10.8,13.2,-8.1,0.0,10.6,-13.9,-11.6,-40.8
9,Frank Mason III,-10.3,0.0,-100.0,-27.8,-116.7,-19.0,0.0,10.2,-94.4,-6.3,-1.7,21.3,85.0,-8.6,-38.5,0.8,-35.4,-16.9,-24.7,0.0,24.2,6.8,0.0,0.2,-70.3,0.0,5.6,-40.4,-31.8,-46.1
10,Marvin Bagley III,23.1,-27.5,-11.0,32.4,-6.0,-4.9,-15.8,3.7,1.3,6.2,-29.5,16.8,-7.3,-0.7,-8.0,5.1,-26.8,10.0,-11.2,0.0,3.1,5.4,-7.8,19.3,2.9,0.0,24.5,-5.7,-22.7,-30.8
11,Nemanja Bjelica,27.3,2.3,-12.0,-4.6,7.0,31.0,18.9,-13.7,16.5,-21.9,-20.1,-14.4,-5.3,-0.5,10.3,3.9,-37.8,5.3,-16.3,23.9,2.3,14.9,6.1,8.3,7.7,0.0,-6.8,-0.6,-4.1,14.0
12,Yogi Ferrell,12.1,36.8,-40.2,-3.8,-6.0,3.1,-10.5,0.7,-17.4,9.4,-10.2,150.0,-12.2,-10.5,-10.0,14.1,-24.3,5.8,5.2,-20.8,-9.6,16.1,12.8,-17.0,3.4,0.0,35.5,-1.1,-0.3,-24.3
13,Wenyen Gabriel,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
14,Troy Williams,0.0,0.0,0.0,0.0,0.0,-78.6,4.5,0.0,0,-11.1,8.8,-6.2,-7.9,-32.2,5.0,0.0,-12.0,-22.8,-150.0,0.0,-32.1,4.0,0.0,17.9,-78.7,0.0,0,9.7,15.8,-10.2
15,Corey Brewer,0.0,-37.3,-29.1,40.9,0.0,25.3,-42.8,-11.8,0,10.0,13.2,0.0,7.2,-2.8,0.0,0.0,-18.9,30.0,5.4,-2.0,0.0,0,37.0,-3.8,-29.8,-70.5,24.0,0.0,-35.1,22.5
16,B.J. Johnson,0.0,0.0,-48.6,-9.3,0.0,0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,-66.7,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-16.7,0.0,100.0,0.0,0.0,0.0
