,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,LaMarcus Aldridge,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,0,2.0,3.0,2.0
1,Dejounte Murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,DeMar DeRozan,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,0,2.0,3.0,1.0
3,Jakob Poeltl,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,0,2.0,3.0,2.0
4,Derrick White,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,0,2.0,2.0,2.0
5,Patty Mills,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,0,2.0,3.0,2.0
6,Rudy Gay,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,0,2.0,2.0,2.0
7,Davis Bertans,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,0,2.0,2.0,2.0
8,Lonnie Walker,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0.0,2.0
9,Dante Cunningham,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,0,1.0,2.0,2.0
10,Marco Belinelli,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,0,2.0,3.0,1.0
11,Bryn Forbes,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,0,2.0,3.0,2.0
12,Quincy Pondexter,0.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,0,1.0,3.0,2.0
13,Chimezie Metu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,0,0.0,3.0,1.0
14,Drew Eubanks,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0,0.0,2.0,1.0
15,Ben Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,Donatas Motiejunas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
