,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,LaMarcus Aldridge,77.0,73.0,75.0,67.0,80.0,66.0,137.0,131.0,67.0,75.0,131.0,69.0,134.0,128.0,137.0,75.0,68.0,125.0,125.0,48.0,116.0,60.0,62.0,113.0,142.0,102.0,0,61.0,83.0,60.0
1,Dejounte Murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,DeMar DeRozan,71.0,71.0,69.0,71.0,79.0,67.0,155.0,137.0,71.0,78.0,136.0,71.0,137.0,162.0,144.0,71.0,71.0,98.0,98.0,58.0,118.0,63.0,67.0,86.0,141.0,106.0,0,68.0,98.0,28.0
3,Jakob Poeltl,10.0,45.0,15.0,33.0,31.0,45.0,68.0,72.0,61.0,52.0,44.0,28.0,54.0,39.0,49.0,26.0,41.0,67.0,28.0,46.0,52.0,36.0,34.0,57.0,64.0,41.0,0,30.0,62.0,39.0
4,Derrick White,60.0,57.0,50.0,42.0,64.0,41.0,85.0,109.0,64.0,46.0,123.0,7.0,106.0,26.0,53.0,35.0,34.0,79.0,65.0,21.0,109.0,34.0,54.0,86.0,59.0,55.0,0,53.0,52.0,60.0
5,Patty Mills,43.0,41.0,50.0,49.0,43.0,44.0,99.0,75.0,45.0,62.0,86.0,54.0,91.0,106.0,106.0,56.0,45.0,93.0,85.0,60.0,64.0,49.0,44.0,93.0,101.0,68.0,0,43.0,69.0,42.0
6,Rudy Gay,59.0,22.0,47.0,43.0,32.0,45.0,91.0,97.0,21.0,77.0,81.0,53.0,108.0,127.0,94.0,32.0,31.0,95.0,107.0,45.0,26.0,23.0,60.0,78.0,117.0,78.0,0,48.0,53.0,54.0
7,Davis Bertans,42.0,49.0,53.0,39.0,48.0,36.0,80.0,88.0,40.0,49.0,88.0,32.0,64.0,55.0,86.0,49.0,50.0,87.0,29.0,44.0,77.0,41.0,25.0,73.0,90.0,60.0,0,55.0,57.0,47.0
8,Lonnie Walker,5.0,2.0,0.0,0.0,0.0,15.0,4.0,16.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,0,5.0,0.0,10.0
9,Dante Cunningham,0.0,4.0,7.0,31.0,11.0,9.0,26.0,17.0,5.0,58.0,28.0,30.0,37.0,116.0,45.0,22.0,35.0,39.0,91.0,30.0,6.0,29.0,24.0,80.0,44.0,36.0,0,5.0,38.0,24.0
10,Marco Belinelli,50.0,47.0,38.0,54.0,33.0,37.0,89.0,80.0,56.0,73.0,75.0,47.0,93.0,81.0,92.0,50.0,47.0,103.0,99.0,46.0,60.0,38.0,41.0,99.0,68.0,67.0,0,53.0,74.0,25.0
11,Bryn Forbes,54.0,59.0,60.0,52.0,64.0,65.0,115.0,109.0,41.0,61.0,115.0,57.0,116.0,107.0,117.0,61.0,58.0,107.0,115.0,52.0,96.0,51.0,54.0,114.0,99.0,92.0,0,56.0,82.0,62.0
12,Quincy Pondexter,0.0,1.0,7.0,0.0,7.0,5.0,8.0,12.0,0.0,23.0,27.0,7.0,9.0,1.0,10.0,4.0,0.0,17.0,25.0,14.0,6.0,19.0,8.0,40.0,6.0,4.0,0,4.0,19.0,8.0
13,Chimezie Metu,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,7.0,7.0,1.0,0.0,0.0,0.0,12.0,21.0,7.0,0.0,4.0,0.0,18.0,6.0,2.0,0,0.0,22.0,3.0
14,Drew Eubanks,10.0,2.0,0.0,0.0,1.0,0.0,6.0,16.0,0.0,21.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,4.0,6.0,0.0,6.0,10.0,7.0,0.0,6.0,0.0,0,0.0,4.0,4.0
15,Ben Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,Donatas Motiejunas,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0
