,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Marc Gasol,1.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0
1,Kawhi Leonard,1.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0
2,Danny Green,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0
3,Norman Powell,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0
4,Pascal Siakam,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0
5,OG Anunoby,2.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0
6,Kyle Lowry,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,0.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0
7,Serge Ibaka,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0
8,Fred VanVleet,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0
9,Chris Boucher,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
10,Jordan Loyd,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,Patrick McCaw,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
12,Malcolm Miller,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jeremy Lin,0.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0
14,Jodie Meeks,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Eric Moreland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
