,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Marc Gasol,29.0,96.0,130.0,49.0,115.0,57.0,37.0,105.0,104.0,55.0,111.0,60.0,70.0,86.0,0,125.0,63.0,102.0,115.0,135.0,58.0,49.0,79.0,67.0,96.0,129.0,114.0,39.0,105.0,56.0
1,Kawhi Leonard,35.0,141.0,133.0,57.0,96.0,137.0,69.0,73.0,71.0,44.0,75.0,39.0,26.0,32.0,37.0,110.0,111.0,59.0,61.0,55.0,78.0,87.0,104.0,30.0,72.0,31.0,68.0,0.0,35.0,75.0
2,Danny Green,59.0,107.0,117.0,89.0,72.0,84.0,61.0,69.0,79.0,70.0,63.0,74.0,48.0,45.0,50.0,125.0,117.0,55.0,47.0,93.0,71.0,107.0,113.0,52.0,60.0,54.0,55.0,0.0,53.0,125.0
3,Norman Powell,38.0,52.0,51.0,77.0,47.0,58.0,35.0,0.0,38.0,0.0,30.0,67.0,16.0,39.0,19.0,62.0,66.0,33.0,22.0,56.0,35.0,32.0,55.0,35.0,17.0,21.0,38.0,0.0,22.0,68.0
4,Pascal Siakam,107.0,123.0,133.0,84.0,85.0,120.0,74.0,29.0,106.0,77.0,72.0,98.0,48.0,74.0,60.0,130.0,135.0,37.0,58.0,122.0,79.0,127.0,132.0,60.0,60.0,66.0,60.0,0.0,63.0,129.0
5,OG Anunoby,54.0,51.0,57.0,46.0,55.0,87.0,11.0,37.0,77.0,35.0,24.0,45.0,44.0,48.0,17.0,82.0,36.0,47.0,47.0,58.0,31.0,47.0,59.0,21.0,32.0,24.0,34.0,0.0,43.0,105.0
6,Kyle Lowry,100.0,146.0,126.0,79.0,96.0,65.0,73.0,34.0,81.0,79.0,80.0,68.0,32.0,33.0,66.0,113.0,102.0,35.0,68.0,112.0,0.0,95.0,136.0,72.0,40.0,69.0,35.0,0.0,29.0,149.0
7,Serge Ibaka,80.0,122.0,95.0,98.0,63.0,76.0,62.0,65.0,20.0,66.0,62.0,58.0,46.0,29.0,61.0,96.0,136.0,28.0,52.0,79.0,43.0,106.0,82.0,54.0,51.0,53.0,57.0,0.0,44.0,126.0
8,Fred VanVleet,108.0,68.0,72.0,121.0,81.0,96.0,21.0,18.0,54.0,42.0,21.0,103.0,55.0,23.0,48.0,79.0,93.0,27.0,22.0,102.0,76.0,76.0,72.0,51.0,38.0,54.0,28.0,0.0,61.0,50.0
9,Chris Boucher,3.0,5.0,5.0,16.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,11.0,6.0,8.0,9.0,4.0,2.0,25.0,4.0,11.0,0.0,16.0,6.0,5.0,0.0,12.0,5.0,0.0,0.0,3.0
10,Jordan Loyd,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,Patrick McCaw,19.0,13.0,20.0,17.0,11.0,19.0,0.0,0.0,22.0,0.0,11.0,12.0,12.0,27.0,18.0,44.0,4.0,0.0,24.0,52.0,5.0,15.0,0.0,6.0,11.0,7.0,11.0,0.0,18.0,0.0
12,Malcolm Miller,0.0,5.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,4.0,0.0,9.0,4.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jeremy Lin,0.0,93.0,53.0,84.0,75.0,70.0,10.0,25.0,80.0,45.0,11.0,65.0,37.0,36.0,17.0,75.0,47.0,42.0,22.0,109.0,29.0,87.0,30.0,14.0,37.0,42.0,19.0,77.0,11.0,94.0
14,Jodie Meeks,0.0,7.0,11.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Eric Moreland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,5.0,0,0.0,0.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
