,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Marc Gasol,48.2,1.2,2.4,35.4,-1.3,-2.8,25.7,3.5,-6.1,-24.1,-23.1,-13.9,-4.3,7.2,0,5.8,-13.6,12.6,-4.3,24.9,15.7,19.6,0.0,-0.1,10.4,-3.1,3.5,-24.0,2.9,12.3
1,Kawhi Leonard,13.5,9.7,8.0,14.3,20.2,15.9,5.0,-8.6,8.2,6.3,8.5,9.1,15.9,20.1,13.6,14.7,10.2,8.8,0.9,10.4,11.6,-6.9,7.7,10.7,7.6,3.0,-9.2,0.0,9.4,7.4
2,Danny Green,17.0,18.4,12.8,34.1,22.0,12.7,12.8,1.4,9.2,20.4,22.4,5.4,41.5,28.3,28.4,24.6,0.5,21.4,10.0,36.2,-2.2,5.6,8.1,-1.1,10.6,1.6,-21.2,0.0,17.1,7.1
3,Norman Powell,-22.6,1.8,-9.8,8.2,-5.1,-10.9,6.7,0.0,-12.0,0.0,-19.1,13.4,25.4,0.1,25.5,4.1,-17.9,38.9,12.0,2.6,-5.4,-18.0,-6.0,19.7,-31.4,32.6,-0.4,0.0,-13.4,5.4
4,Pascal Siakam,20.3,6.2,14.5,20.2,20.4,10.1,13.2,-1.6,-1.9,13.7,11.8,-0.5,44.3,19.2,41.2,23.9,-6.0,3.2,0.8,34.7,4.5,-8.7,4.7,0.8,15.9,4.2,-19.1,0.0,23.4,9.6
5,OG Anunoby,22.4,-9.5,1.6,12.0,-4.4,-11.0,14.5,-21.1,-4.5,-7.2,-66.4,21.8,-5.2,15.4,1.7,-17.9,-59.1,25.3,-2.4,12.9,10.2,-25.0,11.0,-0.5,-43.0,18.6,1.2,0.0,-14.3,8.4
6,Kyle Lowry,12.8,9.5,4.6,27.9,15.6,-3.0,9.1,-18.3,0.0,17.8,-7.7,3.1,46.2,29.4,35.1,26.9,-5.7,16.8,-2.5,26.2,0.0,3.1,10.6,8.1,8.4,10.2,-0.9,0.0,39.6,10.3
7,Serge Ibaka,8.6,6.3,2.0,18.1,-5.4,8.9,2.2,-3.0,-5.0,25.4,6.4,-2.8,38.6,48.0,26.1,-11.7,8.1,5.4,0.9,11.7,-13.8,-13.8,20.7,9.4,-11.2,2.5,-13.5,0.0,16.8,12.7
8,Fred VanVleet,22.3,-17.8,8.3,28.8,0.2,14.2,-11.1,-5.1,-15.5,-3.6,-2.1,4.4,28.6,-17.0,37.8,-2.5,9.4,10.6,-26.0,32.7,-0.7,4.5,-2.0,-2.6,2.2,6.9,-16.2,0.0,12.2,11.0
9,Chris Boucher,-5.0,0.0,-154.5,10.8,0.0,-15.4,0.0,33.3,0.0,0.0,0.0,-10.5,-30.2,-30.5,-32.5,-19.6,133.3,28.6,75.0,16.9,0.0,-13.1,-28.6,46.2,0.0,6.5,77.8,0.0,0.0,-95.8
10,Jordan Loyd,-12.5,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.6,50.0,-44.4,0.0,133.3,-50.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,-83.3,0.0,0.0,0.0,-50.0
11,Patrick McCaw,48.1,14.0,2.3,-10.3,-74.7,-6.9,0.0,0.0,-21.4,0.0,-50.9,34.8,-3.8,0.3,-15.7,15.0,-14.3,0.0,-6.6,-0.8,20.0,-43.3,0.0,-60.6,-39.1,-11.1,9.5,0.0,-14.7,0.0
12,Malcolm Miller,0.0,0.0,0.0,36.4,0.0,-66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1,0,-19.6,0.0,-27.8,75.0,10.7,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jeremy Lin,0.0,17.1,-18.9,8.6,-7.3,-2.1,-4.0,-46.4,-6.1,-15.0,-88.8,-15.0,11.4,-14.3,-12.9,8.6,-22.5,18.0,16.0,-5.0,-7.7,-23.9,-23.7,29.0,-22.1,-48.9,-7.7,2.6,-18.8,6.8
14,Jodie Meeks,0.0,0.0,-24.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,49.2,0.0,-12.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Eric Moreland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.7,35.6,0.0,0.0,0.0,6.7,0,0.0,0.0,-50.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
