,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Rudy Gobert,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,0,2.0
1,Ricky Rubio,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,0,2.0
2,Jae Crowder,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,0,2.0
3,Donovan Mitchell,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,0,2.0
4,Tony Bradley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
5,Kyle Korver,3.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,0.0,3.0,2.0,0,2.0
6,Thabo Sefolosha,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0,2.0
7,Royce O'Neale,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,0,2.0
8,Ekpe Udoh,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,0,2.0
9,Joe Ingles,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,0,2.0
10,Grayson Allen,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0,0.0
11,Derrick Favors,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,0,2.0
12,Dante Exum,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0,0.0
13,Raul Neto,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,0.0,0,2.0
14,Georges Niang,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,0,2.0
15,Naz Mitrou-Long,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0
16,Tyler Cavanaugh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0
