,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Rudy Gobert,60.0,67.0,68.0,66.0,77.0,57.0,123.0,137.0,63.0,103.0,97.0,51.0,67.0,133.0,135.0,63.0,58.0,130.0,99.0,51.0,134.0,69.0,65.0,130.0,122.0,130.0,94.0,62.0,0,67.0
1,Ricky Rubio,62.0,65.0,55.0,23.0,63.0,25.0,129.0,57.0,30.0,96.0,120.0,54.0,25.0,54.0,85.0,62.0,25.0,102.0,83.0,20.0,101.0,32.0,61.0,80.0,98.0,83.0,91.0,59.0,0,59.0
2,Jae Crowder,55.0,57.0,52.0,48.0,58.0,46.0,114.0,113.0,54.0,88.0,125.0,46.0,76.0,104.0,121.0,54.0,61.0,111.0,90.0,23.0,106.0,59.0,48.0,64.0,110.0,112.0,65.0,50.0,0,54.0
3,Donovan Mitchell,68.0,70.0,71.0,64.0,71.0,58.0,126.0,143.0,74.0,107.0,140.0,32.0,71.0,116.0,112.0,64.0,79.0,138.0,101.0,56.0,146.0,72.0,67.0,128.0,120.0,100.0,100.0,35.0,0,71.0
4,Tony Bradley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0
5,Kyle Korver,56.0,0.0,38.0,64.0,36.0,44.0,15.0,59.0,87.0,39.0,64.0,15.0,36.0,53.0,31.0,34.0,60.0,94.0,54.0,42.0,91.0,45.0,27.0,48.0,83.0,0.0,53.0,32.0,0,35.0
6,Thabo Sefolosha,12.0,0.0,0.0,15.0,26.0,11.0,23.0,26.0,9.0,4.0,23.0,22.0,34.0,47.0,14.0,24.0,11.0,0.0,14.0,35.0,39.0,13.0,29.0,49.0,18.0,38.0,34.0,16.0,0,26.0
7,Royce O'Neale,28.0,34.0,51.0,58.0,48.0,47.0,58.0,123.0,35.0,47.0,81.0,42.0,81.0,117.0,65.0,39.0,32.0,83.0,56.0,38.0,82.0,29.0,24.0,104.0,78.0,68.0,67.0,26.0,0,31.0
8,Ekpe Udoh,3.0,2.0,2.0,8.0,9.0,12.0,28.0,15.0,6.0,3.0,26.0,13.0,31.0,18.0,1.0,8.0,0.0,4.0,6.0,16.0,11.0,0.0,5.0,21.0,17.0,18.0,9.0,6.0,0,19.0
9,Joe Ingles,66.0,65.0,65.0,58.0,56.0,52.0,125.0,140.0,62.0,98.0,112.0,57.0,81.0,133.0,145.0,54.0,64.0,134.0,100.0,45.0,135.0,68.0,62.0,129.0,124.0,129.0,82.0,66.0,0,61.0
10,Grayson Allen,8.0,2.0,0.0,14.0,0.0,24.0,34.0,32.0,20.0,0.0,16.0,18.0,56.0,20.0,42.0,9.0,0.0,9.0,5.0,8.0,2.0,0.0,0.0,22.0,17.0,40.0,3.0,16.0,0,0.0
11,Derrick Favors,54.0,45.0,47.0,50.0,19.0,48.0,71.0,76.0,52.0,72.0,81.0,51.0,45.0,73.0,99.0,37.0,59.0,99.0,67.0,50.0,109.0,46.0,44.0,74.0,91.0,69.0,67.0,51.0,0,21.0
12,Dante Exum,0.0,23.0,7.0,0.0,0.0,20.0,48.0,18.0,8.0,35.0,56.0,35.0,0.0,19.0,53.0,24.0,0.0,29.0,18.0,26.0,34.0,16.0,40.0,9.0,38.0,60.0,14.0,34.0,0,0.0
13,Raul Neto,12.0,0.0,30.0,15.0,22.0,5.0,8.0,0.0,12.0,9.0,9.0,25.0,18.0,14.0,0.0,3.0,29.0,13.0,0.0,36.0,32.0,31.0,2.0,62.0,6.0,21.0,35.0,0.0,0,25.0
14,Georges Niang,8.0,16.0,14.0,11.0,9.0,21.0,27.0,37.0,8.0,9.0,17.0,8.0,46.0,50.0,28.0,6.0,1.0,39.0,11.0,17.0,8.0,5.0,2.0,39.0,26.0,25.0,8.0,10.0,0,11.0
15,Naz Mitrou-Long,2.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,36.0,3.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,4.0,0,0.0
16,Tyler Cavanaugh,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,18.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0,0.0
