,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Rudy Gobert,10.0,29.2,19.3,27.9,20.2,42.4,-2.7,9.4,21.2,0.4,-0.5,-46.4,19.6,14.6,2.4,35.4,-36.4,14.1,9.3,30.3,-10.1,7.2,-29.7,14.0,-1.2,2.9,20.9,-7.1,0,0.8
1,Ricky Rubio,18.5,26.7,25.7,21.4,23.4,19.0,0.3,-4.9,0.0,-5.6,8.2,-16.5,1.9,17.0,7.0,33.0,-46.0,-0.6,21.0,47.0,-6.3,-1.3,-19.3,23.5,9.9,-2.0,8.4,-17.6,0,7.4
2,Jae Crowder,-8.2,17.3,3.5,16.3,1.9,40.5,-4.0,-7.5,1.9,6.0,6.0,-25.0,22.4,6.3,-2.1,12.8,2.6,5.5,4.9,15.1,-25.8,2.5,-12.5,32.8,0.9,17.8,4.4,2.4,0,26.0
3,Donovan Mitchell,11.6,13.8,11.7,29.8,19.7,38.3,-0.4,7.7,14.6,-4.1,5.1,-23.3,19.3,17.9,7.0,12.6,-1.8,6.5,8.6,34.0,-13.6,-0.8,-9.1,14.4,-2.9,-1.4,6.2,-15.1,0,6.1
4,Tony Bradley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.2,0.0,0.0,0.0,0.0,0.0,0.0,-47.1,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0,0.0
5,Kyle Korver,-16.9,0.0,-11.2,9.0,-2.8,43.3,-7.6,1.6,9.9,-1.3,-6.5,-10.5,5.6,-4.1,-6.5,-7.7,9.8,9.4,-4.6,50.4,-10.2,-3.3,-18.6,14.9,0.0,0.0,6.1,17.3,0,29.9
6,Thabo Sefolosha,8.3,0.0,0.0,45.9,18.1,0.0,-39.3,46.3,72.2,-85.7,-4.4,-43.2,1.4,11.0,-10.2,10.9,29.0,0.0,13.8,36.0,19.8,-17.4,0.5,10.7,30.7,19.1,28.9,28.7,0,-6.6
7,Royce O'Neale,-8.0,-17.6,18.4,26.1,15.0,23.5,-4.1,8.0,5.8,-14.7,-1.3,-39.2,11.4,8.8,-18.8,5.4,15.9,13.5,6.3,40.5,-16.5,-5.3,-2.2,37.4,-4.6,11.4,12.2,9.5,0,3.1
8,Ekpe Udoh,91.7,-100.0,-33.3,-12.5,-70.2,-52.4,-19.1,-52.9,-100.0,-50.0,-3.2,-29.8,6.0,-45.3,0.0,-74.8,0.0,-8.9,0.0,-39.0,90.0,0.0,0.0,41.5,46.4,29.4,42.1,104.6,0,19.5
9,Joe Ingles,13.6,20.9,20.9,8.2,-5.6,18.3,2.3,2.9,0.0,6.6,8.0,-3.4,6.4,7.2,-6.9,33.5,-7.3,5.6,15.1,36.7,3.2,2.2,-27.2,26.3,10.2,12.5,25.9,-10.3,0,21.7
10,Grayson Allen,-55.2,-100.0,0.0,-39.3,0.0,-25.3,-16.4,-8.8,-4.9,0.0,-33.5,-57.0,-2.0,-30.8,-9.4,-68.3,0.0,0.0,-43.9,-42.1,133.3,0.0,0.0,22.8,-29.8,29.4,0.0,58.2,0,0.0
11,Derrick Favors,15.3,3.3,5.2,22.1,5.4,9.4,8.7,7.1,-10.2,-10.7,8.0,-11.1,10.7,9.7,-15.0,3.9,15.5,0.2,15.1,46.7,0.7,14.7,3.8,22.6,7.5,2.2,4.2,-27.0,0,48.5
12,Dante Exum,0.0,-10.8,54.4,0.0,0.0,51.4,-9.5,6.7,47.4,1.4,12.2,-39.5,0.0,7.5,-19.1,-6.0,0.0,0.0,-13.7,32.1,21.5,-21.1,-0.9,-24.5,36.3,19.3,-8.3,1.5,0,0.0
13,Raul Neto,-11.5,0.0,4.8,48.5,-34.3,-8.3,11.1,0.0,26.8,19.5,-26.3,-36.4,19.2,-34.5,0.0,-66.7,-13.8,33.2,0.0,34.3,18.1,37.7,41.7,49.5,98.7,20.8,39.8,0.0,0,28.2
14,Georges Niang,-23.5,-48.2,4.7,-48.3,-27.1,-23.4,-4.4,-15.3,70.6,-33.6,-30.4,-20.0,-8.0,2.3,-46.6,-50.0,100.0,27.4,20.8,-32.8,76.5,-58.3,41.7,32.5,0.2,4.2,63.9,31.9,0,-23.8
15,Naz Mitrou-Long,-66.7,0.0,0.0,19.1,0.0,-91.1,0.0,-130.0,0.0,0.0,-142.9,0.0,-5.5,-96.7,0.0,0.0,100.0,0.0,0.0,-47.1,0.0,0.0,0.0,0.0,-7.7,-11.1,0.0,150.0,0,0.0
16,Tyler Cavanaugh,0.0,0.0,0.0,0.0,0.0,-120.0,0.0,-130.0,0.0,0.0,-142.9,0.0,-24.4,-96.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.7,-11.1,0.0,0.0,0,0.0
