,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Wall,1.0,1.0,3.0,0,0,2.0,1.0,0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0,0,2.0,2.0,1.0,2.0,1.0,0,2.0,1.0,0,2.0,0,0
1,Sam Dekker,5.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0
2,Bobby Portis,1.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0
3,Ian Mahinmi,2.0,1.0,1.0,1.0,0,3.0,0.0,0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0,0.0,3.0,2.0,2.0,3.0,0,1.0,1.0,0,2.0,1.0,0
4,Tomas Satoransky,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0
5,Bradley Beal,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,0
6,Devin Robinson,0.0,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,3.0,0,0.0,0.0,1.0,0.0,0,0
7,Troy Brown Jr.,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0
8,Trevor Ariza,3.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,0
9,Jeff Green,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,0
10,Dwight Howard,0.0,0.0,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,2.0,0.0,0,1.0,0.0,0,0.0,0,0
11,Jabari Parker,1.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0
12,Thomas Bryant,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,0
13,Jordan McRae,1.0,0.0,0.0,2.0,0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0
14,Chasson Randle,3.0,2.0,1.0,4.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0
15,Tarik Phillip,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
