,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Wall,26.0,41.0,110.0,0,0,47.0,41.0,0,38.0,27.0,79.0,28.0,68.0,42.0,34.0,77.0,0,0,60.0,75.0,34.0,75.0,25.0,0,73.0,37.0,0,66.0,0,0
1,Sam Dekker,77.0,35.0,21.0,46.0,73.0,15.0,14.0,35.0,19.0,17.0,15.0,82.0,0.0,22.0,0.0,17.0,52.0,38.0,0.0,44.0,16.0,33.0,41.0,14.0,0.0,0.0,14.0,29.0,21.0,0
2,Bobby Portis,33.0,50.0,94.0,91.0,134.0,65.0,52.0,86.0,61.0,17.0,0.0,17.0,34.0,42.0,23.0,79.0,0,59.0,0.0,24.0,23.0,45.0,33.0,23.0,19.0,52.0,56.0,28.0,58.0,0
3,Ian Mahinmi,25.0,25.0,10.0,18.0,0,55.0,0.0,0,48.0,0.0,0.0,30.0,29.0,0.0,20.0,40.0,5.0,0,0.0,33.0,30.0,23.0,52.0,0,4.0,19.0,0,25.0,8.0,0
4,Tomas Satoransky,125.0,91.0,86.0,132.0,112.0,111.0,47.0,71.0,59.0,60.0,41.0,103.0,40.0,83.0,43.0,90.0,97.0,71.0,37.0,100.0,42.0,93.0,76.0,87.0,30.0,48.0,61.0,73.0,55.0,0
5,Bradley Beal,154.0,93.0,160.0,138.0,166.0,134.0,74.0,73.0,120.0,59.0,88.0,140.0,70.0,75.0,79.0,129.0,116.0,83.0,79.0,141.0,68.0,155.0,88.0,91.0,70.0,77.0,70.0,168.0,70.0,0
6,Devin Robinson,0.0,30.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,18.0,0.0,0.0,29.0,0,0.0,0.0,14.0,0.0,0,0
7,Troy Brown Jr.,13.0,33.0,16.0,66.0,53.0,15.0,18.0,75.0,2.0,13.0,4.0,13.0,7.0,41.0,21.0,26.0,4.0,30.0,4.0,47.0,12.0,17.0,42.0,23.0,11.0,13.0,47.0,10.0,55.0,0
8,Trevor Ariza,120.0,76.0,66.0,121.0,142.0,64.0,109.0,29.0,148.0,74.0,36.0,114.0,79.0,71.0,99.0,75.0,152.0,67.0,33.0,38.0,90.0,90.0,100.0,54.0,23.0,64.0,72.0,115.0,25.0,0
9,Jeff Green,110.0,102.0,76.0,65.0,133.0,95.0,44.0,21.0,62.0,56.0,56.0,106.0,48.0,54.0,62.0,126.0,110.0,61.0,40.0,80.0,49.0,111.0,74.0,59.0,49.0,56.0,53.0,118.0,23.0,0
10,Dwight Howard,0.0,0.0,27.0,0,0,20.0,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0.0,31.0,23.0,55.0,0.0,0,7.0,0.0,0,0.0,0,0
11,Jabari Parker,34.0,76.0,43.0,85.0,143.0,77.0,82.0,107.0,75.0,26.0,73.0,101.0,23.0,47.0,30.0,96.0,67.0,91.0,36.0,42.0,23.0,32.0,25.0,72.0,0.0,42.0,36.0,61.0,78.0,0
12,Thomas Bryant,86.0,52.0,56.0,100.0,88.0,58.0,18.0,75.0,56.0,31.0,36.0,88.0,30.0,56.0,20.0,59.0,74.0,35.0,31.0,59.0,21.0,45.0,50.0,75.0,5.0,14.0,62.0,71.0,47.0,0
13,Jordan McRae,26.0,0.0,0.0,37.0,0,10.0,0.0,20.0,20.0,13.0,4.0,30.0,8.0,18.0,0.0,16.0,33.0,0,0.0,1.0,0.0,0.0,3.0,25.0,0.0,0.0,19.0,9.0,40.0,0
14,Chasson Randle,40.0,36.0,13.0,79.0,36.0,26.0,0.0,21.0,44.0,15.0,8.0,59.0,0.0,14.0,12.0,25.0,42.0,13.0,0.0,46.0,18.0,31.0,43.0,32.0,0.0,15.0,32.0,22.0,20.0,0
15,Tarik Phillip,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
