,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Wall,-24.5,-3.2,-2.7,0,0,-6.9,-11.8,0,-16.6,-34.9,-14.7,-20.3,4.5,25.8,-26.2,5.2,0,0,-5.1,11.2,-25.3,-0.9,-40.6,0,-11.0,-8.9,0,-6.5,0,0
1,Sam Dekker,0.9,-46.0,14.3,-7.5,4.6,37.3,8.2,-20.3,5.3,-2.5,-34.1,4.1,0.0,-2.0,0.0,-0.2,-4.5,-12.7,0.0,-6.0,39.8,-4.6,-8.5,-24.8,0.0,0.0,-14.3,-9.5,-27.7,0
2,Bobby Portis,-15.4,-6.3,-3.6,2.3,-9.1,16.4,-6.7,-7.2,11.5,-50.4,0.0,-14.7,-1.4,-9.9,11.1,-5.3,0,15.6,0.0,0.0,-18.0,-2.0,-4.1,-17.4,-26.4,0.0,-19.0,-7.7,-9.2,0
3,Ian Mahinmi,-47.2,-27.6,-13.4,-17.1,0,28.1,0.0,0,21.3,0.0,0.0,8.0,-36.8,0.0,-45.9,5.9,-38.5,0,0.0,-35.1,26.4,24.4,-7.3,0,38.1,-11.9,0,1.9,5.6,0
4,Tomas Satoransky,3.7,0.0,0.5,-4.3,-8.4,1.8,5.7,3.4,5.0,0.7,3.9,-16.4,-16.0,4.2,0.0,-8.9,-3.5,2.5,-0.8,0.0,-15.9,2.3,1.1,5.2,21.0,19.9,-4.1,-22.3,-14.8,0
5,Bradley Beal,6.3,-7.7,7.6,-4.3,-1.4,-4.5,-4.7,-1.4,-5.7,-15.6,-10.3,4.8,3.4,3.7,4.9,-7.6,-12.1,15.3,-2.7,6.4,-9.7,-0.2,-10.4,7.7,-6.4,-2.3,-31.0,-4.6,-12.0,0
6,Devin Robinson,0.0,-9.4,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-66.7,-19.3,0.0,0.0,16.0,0,0.0,0.0,-3.0,0.0,0,0
7,Troy Brown Jr.,20.0,6.9,-11.1,-9.5,9.7,51.1,-13.9,7.3,-16.7,-10.3,17.8,-22.6,-29.4,-23.4,-2.2,-32.1,93.1,-5.6,-66.7,0.0,12.5,30.3,-6.8,-2.6,54.5,-6.0,5.4,41.9,-6.7,0
8,Trevor Ariza,3.9,-17.0,2.8,-5.1,-6.6,-4.5,18.1,-69.1,2.3,-5.8,-12.2,-10.9,-13.7,-10.1,-5.5,-19.4,-8.8,5.7,-27.1,12.8,-27.4,-5.5,2.0,5.3,-54.3,-4.9,-20.6,-8.5,-39.4,0
9,Jeff Green,11.0,-11.1,-0.5,1.9,-4.5,-0.8,11.2,-40.2,-10.0,-15.6,7.4,-13.3,1.7,9.0,4.2,6.3,-6.4,6.8,-13.2,3.3,-12.2,4.6,-9.8,4.7,4.8,10.9,-31.0,-12.3,-37.2,0
10,Dwight Howard,0.0,0.0,-13.7,0,0,-2.5,-17.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,0,0,0.0,42.7,-24.5,-19.7,0.0,0,-94.1,0.0,0,0.0,0,0
11,Jabari Parker,11.6,-28.8,-9.4,3.5,-2.9,0.2,-3.9,-17.2,-17.9,-2.5,-9.5,-10.1,6.0,-9.4,17.5,-1.6,-8.1,-6.6,-20.0,4.8,-11.8,15.5,-19.5,9.5,0.0,-21.5,0.0,-20.9,-1.7,0
12,Thomas Bryant,-2.7,25.3,1.8,-6.0,4.3,-3.1,6.3,6.7,-18.1,-5.0,-30.5,-2.1,-18.5,-3.2,-7.8,-17.9,-13.3,-3.2,1.7,11.5,-13.0,11.6,-0.7,16.9,54.5,-5.7,-19.7,-6.4,-17.2,0
13,Jordan McRae,37.5,0.0,0.0,-3.8,0,73.0,0.0,31.7,-12.5,-14.8,44.4,10.0,-36.6,-27.4,0.0,24.2,-31.0,0,0.0,-50.0,0.0,0.0,-103.3,-10.3,0.0,0.0,-34.1,-38.1,-9.5,0
14,Chasson Randle,-7.6,-25.1,17.2,3.3,-16.1,-0.1,0.0,-48.8,-5.1,-11.7,-41.2,3.5,0.0,-22.4,-8.5,26.9,-16.7,-10.6,0.0,-5.4,83.8,32.2,-11.0,-16.2,0.0,-20.6,-2.6,-29.3,-0.3,0
15,Tarik Phillip,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
