,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0
1,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0
2,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0
3,2.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0
4,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0
5,2.0,4.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0
7,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0
8,1.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0
9,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0
