,Unnamed: 0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,0,8:00p,Toronto Raptors,106.0,Cleveland Cavaliers,95.0,Box Score,,"19,432",
1,1,7:00p,Golden State Warriors,102.0,Detroit Pistons,111.0,Box Score,,"20,332",
2,2,8:00p,Chicago Bulls,105.0,Houston Rockets,121.0,Box Score,,"18,055",
3,3,8:00p,Boston Celtics,118.0,Minnesota Timberwolves,109.0,Box Score,,"17,663",
4,4,5:00p,Milwaukee Bucks,134.0,New York Knicks,136.0,Box Score,OT,"19,812",
5,5,10:00p,Indiana Pacers,110.0,Sacramento Kings,111.0,Box Score,,"17,583",
6,6,7:00p,Brooklyn Nets,88.0,Washington Wizards,102.0,Box Score,,"15,448",
7,7,5:00p,New Orleans Pelicans,119.0,Charlotte Hornets,109.0,Box Score,,"15,336",
8,8,7:00p,Los Angeles Clippers,110.0,Dallas Mavericks,114.0,Box Score,,"19,551",
9,9,3:30p,Phoenix Suns,96.0,Los Angeles Lakers,120.0,Box Score,,"18,997",
10,10,6:00p,Utah Jazz,100.0,Miami Heat,102.0,Box Score,,"19,600",
11,11,6:00p,Memphis Grizzlies,95.0,Philadelphia 76ers,103.0,Box Score,,"20,334",
12,12,7:00p,Portland Trail Blazers,118.0,San Antonio Spurs,131.0,Box Score,,"18,354",
13,13,7:30p,Golden State Warriors,128.0,Atlanta Hawks,111.0,Box Score,,"16,631",
14,14,7:30p,Cleveland Cavaliers,99.0,Brooklyn Nets,97.0,Box Score,,"10,983",
15,15,7:00p,Oklahoma City Thunder,110.0,Detroit Pistons,83.0,Box Score,,"14,372",
16,16,8:00p,Houston Rockets,91.0,Minnesota Timberwolves,103.0,Box Score,,"13,834",
17,17,8:00p,Los Angeles Clippers,129.0,New Orleans Pelicans,126.0,Box Score,,"13,822",
18,18,7:30p,Washington Wizards,110.0,New York Knicks,107.0,Box Score,,"19,440",
