,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,56.0,35.0,19.0,34.0,22.0,7.0,45.0,18.0,24.0,24.0,25.0,8.0,1.0,14.0,1.0,59.0,0.0,0.0,39.0,15.0,81.0,21.0,0.0,29.0,53.0,13.0,37.0,16.0,30.0
1,0.0,0.0,21.0,10.0,12.0,0.0,9.0,17.0,9.0,4.0,25.0,1.0,36.0,1.0,0.0,16.0,14.0,0.0,0.0,8.0,0.0,13.0,3.0,8.0,11.0,0.0,28.0,35.0,20.0,0.0
2,0.0,29.0,0.0,19.0,24.0,2.0,6.0,0.0,3.0,22.0,8.0,28.0,11.0,0.0,6.0,42.0,43.0,17.0,2.0,19.0,14.0,13.0,15.0,0.0,18.0,0.0,3.0,29.0,26.0,23.0
3,25.0,85.0,25.0,0.0,36.0,3.0,11.0,31.0,52.0,62.0,24.0,20.0,12.0,23.0,0.0,21.0,46.0,40.0,14.0,18.0,25.0,34.0,55.0,0.0,32.0,46.0,1.0,77.0,39.0,9.0
4,1.0,48.0,4.0,2.0,0.0,24.0,44.0,13.0,0.0,58.0,17.0,34.0,21.0,42.0,0.0,25.0,27.0,17.0,10.0,2.0,9.0,46.0,10.0,0.0,41.0,7.0,0.0,21.0,17.0,4.0
5,25.0,70.0,31.0,37.0,70.0,0.0,18.0,41.0,54.0,30.0,28.0,35.0,26.0,4.0,8.0,71.0,50.0,15.0,51.0,0.0,26.0,31.0,30.0,9.0,30.0,32.0,28.0,39.0,42.0,37.0
6,7.0,21.0,39.0,0.0,0.0,0.0,0.0,19.0,4.0,9.0,17.0,12.0,13.0,22.0,50.0,17.0,25.0,2.0,32.0,12.0,20.0,5.0,6.0,31.0,11.0,27.0,27.0,12.0,40.0,9.0
7,8.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,26.0,62.0,49.0,36.0,21.0,7.0,2.0,0.0,13.0,0.0,18.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,9.0,0.0,23.0,5.0
8,3.0,31.0,29.0,0.0,36.0,7.0,5.0,3.0,0.0,7.0,2.0,65.0,10.0,13.0,0.0,39.0,59.0,0.0,8.0,0.0,40.0,2.0,30.0,0.0,5.0,12.0,24.0,0.0,11.0,14.0
9,0.0,33.0,0.0,0.0,0.0,0.0,38.0,2.0,9.0,0.0,28.0,0.0,5.0,26.0,15.0,1.0,23.0,1.0,0.0,0.0,28.0,7.0,9.0,4.0,23.0,0.0,18.0,23.0,5.0,0.0
10,0.0,0.0,3.0,0.0,0.0,9.0,23.0,14.0,5.0,2.0,0.0,0.0,23.0,5.0,1.0,2.0,21.0,22.0,24.0,0.0,24.0,7.0,28.0,0.0,28.0,0.0,7.0,0.0,38.0,4.0
11,0.0,49.0,12.0,0.0,18.0,1.0,9.0,2.0,4.0,55.0,16.0,0.0,6.0,8.0,3.0,0.0,45.0,10.0,0.0,0.0,8.0,17.0,47.0,0.0,18.0,1.0,11.0,19.0,0.0,18.0
