,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,7:30p,Sacramento Kings,146,Atlanta Hawks,115,Box Score,,"12,095",
1,8:00p,Milwaukee Bucks,113,Boston Celtics,117,Box Score,,"18,624",
2,7:00p,Oklahoma City Thunder,111,Charlotte Hornets,107,Box Score,,"14,583",
3,7:00p,Denver Nuggets,110,Cleveland Cavaliers,91,Box Score,,"19,432",
4,7:00p,Los Angeles Clippers,113,Philadelphia 76ers,122,Box Score,,"20,246",
5,10:30p,New Orleans Pelicans,119,Portland Trail Blazers,132,Box Score,,"18,921",
6,7:30p,Houston Rockets,119,Brooklyn Nets,111,Box Score,,"14,013",
7,8:00p,Indiana Pacers,107,Chicago Bulls,105,Box Score,,"19,704",
8,8:30p,New York Knicks,118,Dallas Mavericks,106,Box Score,,"20,008",
9,10:30p,Minnesota Timberwolves,99,Golden State Warriors,116,Box Score,,"19,596",
10,7:00p,Los Angeles Clippers,120,Orlando Magic,95,Box Score,,"15,953",
11,10:00p,Toronto Raptors,107,Phoenix Suns,98,Box Score,,"15,843",
12,9:00p,Memphis Grizzlies,110,Utah Jazz,100,Box Score,,"18,306",
13,8:00p,Oklahoma City Thunder,134,Washington Wizards,111,Box Score,,"20,409",
14,7:30p,Miami Heat,118,Atlanta Hawks,123,Box Score,,"16,303",
15,8:00p,Houston Rockets,96,Chicago Bulls,88,Box Score,,"20,505",
16,7:00p,Cleveland Cavaliers,94,Charlotte Hornets,126,Box Score,,"16,221",
17,9:00p,Utah Jazz,88,Denver Nuggets,103,Box Score,,"19,520",
18,7:00p,Boston Celtics,101,Indiana Pacers,102,Box Score,,"17,505",
19,1:00p,Detroit Pistons,99,Philadelphia 76ers,109,Box Score,,"20,289",
20,10:00p,Los Angeles Lakers,114,Portland Trail Blazers,110,Box Score,,"19,848",
21,8:30p,New Orleans Pelicans,95,San Antonio Spurs,109,Box Score,,"18,354",
22,6:00p,Philadelphia 76ers,97,Brooklyn Nets,122,Box Score,,"12,826",
23,9:30p,Toronto Raptors,121,Los Angeles Lakers,107,Box Score,,"18,997",
24,3:30p,Sacramento Kings,109,Milwaukee Bucks,144,Box Score,,"17,341",
25,8:00p,Memphis Grizzlies,100,Phoenix Suns,102,Box Score,,"13,074",
26,9:00p,Minnesota Timberwolves,81,Portland Trail Blazers,111,Box Score,,"19,522",
27,7:00p,Orlando Magic,117,San Antonio Spurs,110,Box Score,,"18,354",
28,6:00p,New York Knicks,95,Washington Wizards,108,Box Score,,"16,679",
29,9:00p,Boston Celtics,107,Denver Nuggets,115,Box Score,,"19,520",
30,7:00p,Miami Heat,120,Detroit Pistons,115,Box Score,OT,"14,148",
31,10:30p,Memphis Grizzlies,101,Golden State Warriors,117,Box Score,,"19,596",
32,7:00p,Houston Rockets,98,Indiana Pacers,94,Box Score,,"14,735",
33,10:30p,Minnesota Timberwolves,109,Los Angeles Clippers,120,Box Score,,"16,564",
34,7:30p,Chicago Bulls,116,New York Knicks,115,Box Score,2OT,"19,812",
35,8:00p,New Orleans Pelicans,116,Oklahoma City Thunder,122,Box Score,,"18,203",
36,7:00p,Cleveland Cavaliers,100,Orlando Magic,102,Box Score,,"15,009",
37,9:00p,Toronto Raptors,124,Utah Jazz,111,Box Score,,"18,306",
38,7:00p,Atlanta Hawks,102,Charlotte Hornets,113,Box Score,,"13,955",
39,8:30p,Washington Wizards,100,Dallas Mavericks,119,Box Score,,"19,234",
40,9:00p,Brooklyn Nets,104,Phoenix Suns,82,Box Score,,"14,205",
41,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,118,Box Score,,"19,512",
42,7:30p,New York Knicks,112,Atlanta Hawks,107,Box Score,,"12,412",
43,7:00p,Oklahoma City Thunder,95,Cleveland Cavaliers,86,Box Score,,"19,432",
44,8:00p,Philadelphia 76ers,100,Indiana Pacers,94,Box Score,,"16,434",
45,10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,114,Box Score,,"18,997",
46,8:00p,Denver Nuggets,87,Memphis Grizzlies,89,Box Score,,"15,832",
47,7:30p,San Antonio Spurs,88,Miami Heat,95,Box Score,,"19,600",
48,8:00p,Chicago Bulls,98,New Orleans Pelicans,107,Box Score,,"15,514",
49,7:00p,Detroit Pistons,103,Orlando Magic,96,Box Score,,"16,103",
50,10:00p,Toronto Raptors,114,Sacramento Kings,105,Box Score,,"17,583",
51,9:00p,Dallas Mavericks,102,Utah Jazz,117,Box Score,,"18,306",
52,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,"19,596",
53,8:00p,Houston Rockets,80,Oklahoma City Thunder,98,Box Score,,"18,203",
54,9:00p,Boston Celtics,116,Phoenix Suns,109,Box Score,OT,"17,359",
55,10:00p,Los Angeles Clippers,105,Portland Trail Blazers,116,Box Score,,"19,170",
56,7:30p,Detroit Pistons,124,Atlanta Hawks,109,Box Score,,"14,759",
57,9:00p,Brooklyn Nets,112,Denver Nuggets,110,Box Score,,"19,520",
58,8:00p,Indiana Pacers,110,Miami Heat,102,Box Score,,"19,600",
59,7:00p,Washington Wizards,108,Orlando Magic,117,Box Score,,"16,562",
60,7:00p,Charlotte Hornets,132,Philadelphia 76ers,133,Box Score,OT,"20,424",
61,10:00p,Minnesota Timberwolves,110,Sacramento Kings,121,Box Score,,"17,583",
62,9:30p,Boston Celtics,115,Utah Jazz,123,Box Score,,"18,306",
63,8:00p,Cleveland Cavaliers,98,Chicago Bulls,99,Box Score,,"21,506",
64,9:00p,Oklahoma City Thunder,96,Dallas Mavericks,111,Box Score,,"19,818",
65,8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,"19,596",
66,3:30p,Milwaukee Bucks,126,Los Angeles Clippers,128,Box Score,OT,"17,486",
67,8:00p,Philadelphia 76ers,106,Memphis Grizzlies,112,Box Score,OT,"16,904",
68,8:00p,Washington Wizards,116,Miami Heat,110,Box Score,,"19,600",
69,7:00p,Phoenix Suns,99,New Orleans Pelicans,119,Box Score,,"15,222",
70,10:00p,Los Angeles Lakers,101,Sacramento Kings,86,Box Score,,"17,583",
71,8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,"18,354",
72,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,"19,800",
73,8:00p,Milwaukee Bucks,121,Denver Nuggets,114,Box Score,,"19,520",
74,3:30p,Charlotte Hornets,113,Detroit Pistons,103,Box Score,,"15,133",
75,7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,"18,055",
76,9:30p,Atlanta Hawks,106,Los Angeles Lakers,107,Box Score,,"18,997",
77,7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,"19,812",
78,9:00p,Boston Celtics,94,Portland Trail Blazers,100,Box Score,,"19,712",
79,8:00p,Dallas Mavericks,103,Chicago Bulls,98,Box Score,,"19,012",
80,10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,"19,068",
81,8:00p,Utah Jazz,96,Memphis Grizzlies,88,Box Score,,"13,477",
82,7:30p,Philadelphia 76ers,124,Miami Heat,114,Box Score,,"19,600",
83,8:00p,Brooklyn Nets,113,Minnesota Timberwolves,120,Box Score,,"10,186",
84,8:00p,Phoenix Suns,101,Oklahoma City Thunder,118,Box Score,,"18,203",
85,10:00p,San Antonio Spurs,99,Sacramento Kings,104,Box Score,,"15,500",
86,7:30p,New Orleans Pelicans,126,Toronto Raptors,110,Box Score,,"19,800",
87,7:00p,Orlando Magic,109,Washington Wizards,117,Box Score,,"15,346",
88,7:00p,Charlotte Hornets,89,Cleveland Cavaliers,113,Box Score,,"19,432",
89,9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,"16,741",
90,10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,"19,596",
91,7:30p,Chicago Bulls,82,Boston Celtics,111,Box Score,,"18,624",
92,7:30p,Miami Heat,120,Brooklyn Nets,107,Box Score,,"13,317",
93,8:30p,Utah Jazz,68,Dallas Mavericks,118,Box Score,,"19,371",
94,10:30p,Portland Trail Blazers,117,Los Angeles Lakers,126,Box Score,,"18,997",
95,8:00p,Memphis Grizzlies,116,Milwaukee Bucks,113,Box Score,,"16,817",
96,8:00p,New Orleans Pelicans,100,Minnesota Timberwolves,107,Box Score,,"11,636",
97,8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,"18,203",
98,7:00p,Philadelphia 76ers,106,Orlando Magic,111,Box Score,,"15,921",
99,9:00p,San Antonio Spurs,96,Phoenix Suns,116,Box Score,,"14,532",
100,7:30p,Detroit Pistons,106,Toronto Raptors,104,Box Score,,"19,800",
101,7:00p,Cleveland Cavaliers,95,Washington Wizards,119,Box Score,,"14,537",
102,9:00p,Atlanta Hawks,93,Denver Nuggets,138,Box Score,,"15,103",
103,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,"18,055",
104,10:30p,San Antonio Spurs,111,Los Angeles Clippers,116,Box Score,,"17,463",
105,7:00p,Toronto Raptors,116,Boston Celtics,123,Box Score,OT,"18,624",
106,7:00p,Miami Heat,91,Indiana Pacers,99,Box Score,,"17,923",
107,8:00p,Sacramento Kings,104,Memphis Grizzlies,112,Box Score,,"13,811",
108,9:30p,Chicago Bulls,104,Milwaukee Bucks,123,Box Score,,"17,341",
109,8:00p,Portland Trail Blazers,96,Minnesota Timberwolves,112,Box Score,,"18,978",
110,8:00p,New York Knicks,124,New Orleans Pelicans,129,Box Score,,"14,717",
111,7:00p,Utah Jazz,107,Philadelphia 76ers,113,Box Score,,"20,485",
112,7:00p,Brooklyn Nets,115,Washington Wizards,104,Box Score,,"15,102",
113,7:30p,Utah Jazz,98,Boston Celtics,86,Box Score,,"18,624",
114,6:00p,Los Angeles Clippers,127,Brooklyn Nets,119,Box Score,,"12,944",
115,8:00p,Toronto Raptors,122,Chicago Bulls,83,Box Score,,"21,263",
116,7:00p,Philadelphia 76ers,122,Charlotte Hornets,119,Box Score,OT,"19,426",
117,8:30p,Golden State Warriors,109,Dallas Mavericks,112,Box Score,,"20,260",
118,8:00p,Sacramento Kings,112,Houston Rockets,132,Box Score,,"18,055",
119,7:00p,Atlanta Hawks,89,Indiana Pacers,97,Box Score,,"17,491",
120,7:00p,Denver Nuggets,115,New Orleans Pelicans,125,Box Score,,"15,408",
121,7:00p,Los Angeles Lakers,117,Orlando Magic,130,Box Score,,"19,249",
122,9:00p,Oklahoma City Thunder,110,Phoenix Suns,100,Box Score,,"16,376",
123,6:00p,Los Angeles Lakers,113,Miami Heat,97,Box Score,,"19,686",
124,3:30p,Memphis Grizzlies,100,Minnesota Timberwolves,87,Box Score,,"13,179",
125,6:00p,New York Knicks,117,Orlando Magic,131,Box Score,,"15,898",
126,7:00p,Golden State Warriors,92,San Antonio Spurs,104,Box Score,,"18,354",
127,6:00p,Portland Trail Blazers,119,Washington Wizards,109,Box Score,,"16,647",
128,7:30p,Los Angeles Clippers,127,Atlanta Hawks,119,Box Score,,"14,323",
129,7:00p,Boston Celtics,112,Charlotte Hornets,117,Box Score,,"18,040",
130,7:00p,Cleveland Cavaliers,102,Detroit Pistons,113,Box Score,,"15,769",
131,7:00p,Utah Jazz,94,Indiana Pacers,121,Box Score,,"17,000",
132,8:00p,Dallas Mavericks,88,Memphis Grizzlies,98,Box Score,,"15,997",
133,8:00p,Denver Nuggets,98,Milwaukee Bucks,104,Box Score,,"17,341",
