,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,9:00p,New York Knicks,108,Denver Nuggets,115,Box Score,,"19,520",
1,10:30p,Philadelphia 76ers,119,Los Angeles Clippers,113,Box Score,,"17,868",
2,8:00p,Detroit Pistons,98,Milwaukee Bucks,121,Box Score,,"17,534",
3,9:00p,Portland Trail Blazers,113,Sacramento Kings,108,Box Score,OT,"17,583",
4,7:30p,Utah Jazz,116,Toronto Raptors,122,Box Score,,"19,800",
5,8:00p,Minnesota Timberwolves,102,Boston Celtics,115,Box Score,,"18,624",
6,7:30p,New Orleans Pelicans,121,Brooklyn Nets,126,Box Score,,"16,890",
7,8:00p,Orlando Magic,112,Chicago Bulls,84,Box Score,,"19,013",
8,7:00p,Dallas Mavericks,122,Charlotte Hornets,84,Box Score,,"16,955",
9,7:00p,Miami Heat,117,Cleveland Cavaliers,92,Box Score,,"19,432",
10,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,"18,997",
11,8:00p,Detroit Pistons,101,Memphis Grizzlies,94,Box Score,,"14,109",
12,9:00p,Philadelphia 76ers,132,Phoenix Suns,127,Box Score,,"15,226",
13,7:00p,Atlanta Hawks,98,Washington Wizards,114,Box Score,,"15,324",
14,10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,"19,596",
15,10:00p,Denver Nuggets,117,Sacramento Kings,113,Box Score,,"17,583",
16,8:00p,Toronto Raptors,107,San Antonio Spurs,125,Box Score,,"18,354",
17,8:00p,Dallas Mavericks,93,Boston Celtics,114,Box Score,,"18,624",
18,8:00p,Indiana Pacers,119,Chicago Bulls,116,Box Score,OT,"21,284",
19,7:30p,Utah Jazz,117,Cleveland Cavaliers,91,Box Score,,"19,432",
20,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,"18,997",
21,8:00p,Brooklyn Nets,109,Memphis Grizzlies,100,Box Score,,"16,683",
22,8:00p,Washington Wizards,109,Miami Heat,115,Box Score,,"19,600",
23,8:30p,Atlanta Hawks,112,Milwaukee Bucks,144,Box Score,,"17,632",
24,8:00p,Orlando Magic,103,Minnesota Timberwolves,120,Box Score,,"14,355",
25,9:00p,Los Angeles Clippers,121,Phoenix Suns,111,Box Score,,"14,764",
26,10:30p,Oklahoma City Thunder,111,Portland Trail Blazers,109,Box Score,,"19,393",
27,8:00p,New Orleans Pelicans,133,Cleveland Cavaliers,98,Box Score,,"19,432",
28,5:00p,Charlotte Hornets,110,Denver Nuggets,123,Box Score,,"19,861",
29,7:00p,Utah Jazz,110,Detroit Pistons,105,Box Score,,"17,255",
30,8:30p,Toronto Raptors,123,Milwaukee Bucks,116,Box Score,,"18,028",
31,7:30p,Dallas Mavericks,100,Philadelphia 76ers,106,Box Score,,"20,656",
32,10:00p,Houston Rockets,101,Portland Trail Blazers,110,Box Score,,"19,577",
33,10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,"17,583",
34,8:30p,Memphis Grizzlies,88,San Antonio Spurs,108,Box Score,,"18,354",
35,6:00p,Miami Heat,82,Atlanta Hawks,106,Box Score,,"16,630",
36,3:30p,Brooklyn Nets,117,Chicago Bulls,100,Box Score,,"19,265",
37,3:30p,Orlando Magic,96,Los Angeles Clippers,106,Box Score,,"16,616",
38,3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,"18,978",
39,7:00p,Washington Wizards,116,Oklahoma City Thunder,98,Box Score,,"18,203",
40,8:00p,Charlotte Hornets,119,Phoenix Suns,113,Box Score,,"13,110",
41,7:30p,Indiana Pacers,105,Toronto Raptors,121,Box Score,,"19,800",
42,7:30p,Brooklyn Nets,95,Boston Celtics,116,Box Score,,"18,624",
43,8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,"20,354",
44,7:00p,San Antonio Spurs,119,Detroit Pistons,107,Box Score,,"13,107",
45,8:00p,Denver Nuggets,113,Houston Rockets,125,Box Score,,"18,055",
46,8:00p,Utah Jazz,102,Milwaukee Bucks,114,Box Score,,"17,341",
47,8:00p,Memphis Grizzlies,95,New Orleans Pelicans,114,Box Score,,"14,624",
48,10:00p,New York Knicks,101,Portland Trail Blazers,111,Box Score,,"19,026",
49,10:00p,Orlando Magic,95,Sacramento Kings,111,Box Score,,"15,724",
50,7:00p,Indiana Pacers,123,Cleveland Cavaliers,115,Box Score,,"19,432",
51,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,"19,596",
52,10:30p,Charlotte Hornets,109,Los Angeles Clippers,128,Box Score,,"15,275",
53,7:30p,Denver Nuggets,103,Miami Heat,99,Box Score,,"19,600",
54,8:00p,Minnesota Timberwolves,119,Oklahoma City Thunder,117,Box Score,,"18,203",
55,7:00p,Washington Wizards,115,Philadelphia 76ers,132,Box Score,,"20,446",
56,9:00p,Sacramento Kings,111,Phoenix Suns,115,Box Score,,"13,977",
57,7:30p,Atlanta Hawks,101,Toronto Raptors,104,Box Score,,"19,800",
58,7:00p,Indiana Pacers,108,Boston Celtics,135,Box Score,,"18,624",
59,7:30p,Atlanta Hawks,100,Brooklyn Nets,116,Box Score,,"14,531",
60,8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,"19,596",
61,8:00p,Milwaukee Bucks,116,Houston Rockets,109,Box Score,,"18,055",
62,10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,"18,997",
63,8:00p,San Antonio Spurs,86,Memphis Grizzlies,96,Box Score,,"13,944",
64,8:00p,Cleveland Cavaliers,124,New Orleans Pelicans,140,Box Score,,"15,058",
65,10:00p,Chicago Bulls,112,Portland Trail Blazers,124,Box Score,,"19,393",
66,9:00p,Orlando Magic,93,Utah Jazz,106,Box Score,,"18,306",
67,7:00p,Philadelphia 76ers,106,Washington Wizards,123,Box Score,,"18,039",
68,9:00p,Los Angeles Clippers,100,Denver Nuggets,121,Box Score,,"15,742",
69,7:00p,Boston Celtics,99,Miami Heat,115,Box Score,,"19,600",
70,10:00p,Detroit Pistons,102,Sacramento Kings,112,Box Score,,"16,916",
71,9:30p,Oklahoma City Thunder,147,San Antonio Spurs,154,Box Score,2OT,"18,354",
72,10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,"19,596",
73,8:00p,Cleveland Cavaliers,113,Houston Rockets,141,Box Score,,"18,055",
74,8:00p,Dallas Mavericks,119,Minnesota Timberwolves,115,Box Score,,"18,978",
75,7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,"19,812",
76,7:00p,Atlanta Hawks,123,Philadelphia 76ers,121,Box Score,,"20,487",
77,10:00p,Charlotte Hornets,96,Portland Trail Blazers,127,Box Score,,"19,393",
78,7:30p,Brooklyn Nets,105,Toronto Raptors,122,Box Score,,"19,800",
79,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,"18,306",
80,7:00p,Milwaukee Bucks,106,Washington Wizards,113,Box Score,,"17,996",
81,3:30p,Detroit Pistons,109,Los Angeles Clippers,104,Box Score,,"16,540",
82,5:00p,Memphis Grizzlies,108,Miami Heat,112,Box Score,,"19,600",
83,8:00p,New Orleans Pelicans,106,Minnesota Timberwolves,110,Box Score,,"16,384",
84,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,122,Box Score,,"18,203",
85,7:00p,Boston Celtics,103,Orlando Magic,105,Box Score,,"18,846",
86,9:00p,Denver Nuggets,93,Phoenix Suns,102,Box Score,,"15,246",
87,10:00p,Charlotte Hornets,97,Sacramento Kings,104,Box Score,,"17,853",
88,10:00p,Chicago Bulls,102,Utah Jazz,110,Box Score,,"18,306",
89,3:30p,Milwaukee Bucks,133,Atlanta Hawks,114,Box Score,,"16,292",
90,7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,"20,340",
91,8:00p,Portland Trail Blazers,113,Denver Nuggets,116,Box Score,,"19,520",
92,9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,"18,997",
93,1:00p,Philadelphia 76ers,108,New York Knicks,105,Box Score,,"18,596",
94,6:00p,Houston Rockets,109,Orlando Magic,116,Box Score,,"16,982",
95,1:00p,Toronto Raptors,140,Washington Wizards,138,Box Score,2OT,"16,919",
96,7:30p,Boston Celtics,102,Brooklyn Nets,109,Box Score,,"16,247",
97,8:00p,Memphis Grizzlies,94,Houston Rockets,112,Box Score,,"18,055",
98,10:30p,New Orleans Pelicans,121,Los Angeles Clippers,117,Box Score,,"15,283",
99,10:00p,Portland Trail Blazers,107,Sacramento Kings,115,Box Score,,"17,583",
100,8:30p,Charlotte Hornets,108,San Antonio Spurs,93,Box Score,,"18,354",
101,9:00p,Detroit Pistons,94,Utah Jazz,100,Box Score,,"18,306",
102,7:30p,Oklahoma City Thunder,126,Atlanta Hawks,142,Box Score,,"15,045",
103,9:00p,Golden State Warriors,142,Denver Nuggets,111,Box Score,,"19,896",
104,7:00p,Phoenix Suns,97,Indiana Pacers,131,Box Score,,"15,698",
105,10:30p,Chicago Bulls,100,Los Angeles Lakers,107,Box Score,,"18,997",
106,8:00p,Miami Heat,86,Milwaukee Bucks,124,Box Score,,"17,626",
107,7:00p,Minnesota Timberwolves,107,Philadelphia 76ers,149,Box Score,,"20,265",
108,8:00p,Toronto Raptors,108,Boston Celtics,117,Box Score,,"18,624",
109,8:30p,San Antonio Spurs,105,Dallas Mavericks,101,Box Score,,"20,214",
110,7:00p,Orlando Magic,115,Detroit Pistons,120,Box Score,OT,"14,019",
111,10:30p,New Orleans Pelicans,140,Golden State Warriors,147,Box Score,,"19,596",
112,8:00p,Brooklyn Nets,145,Houston Rockets,142,Box Score,OT,"18,055",
113,10:30p,Utah Jazz,129,Los Angeles Clippers,109,Box Score,,"15,535",
114,8:00p,Milwaukee Bucks,111,Memphis Grizzlies,101,Box Score,,"14,921",
115,10:00p,Cleveland Cavaliers,112,Portland Trail Blazers,129,Box Score,,"19,089",
116,7:00p,Sacramento Kings,95,Charlotte Hornets,114,Box Score,,"15,431",
117,9:00p,Chicago Bulls,105,Denver Nuggets,135,Box Score,,"17,289",
118,7:00p,Philadelphia 76ers,120,Indiana Pacers,96,Box Score,,"16,007",
119,9:30p,Los Angeles Lakers,138,Oklahoma City Thunder,128,Box Score,OT,"18,203",
120,7:30p,Phoenix Suns,109,Toronto Raptors,111,Box Score,,"19,800",
121,3:00p,New York Knicks,100,Washington Wizards,101,Box Score,,"19,078","at London, England"
122,7:00p,Memphis Grizzlies,116,Boston Celtics,122,Box Score,,"18,624",
123,7:00p,Miami Heat,93,Detroit Pistons,98,Box Score,,"17,228",
124,10:30p,Golden State Warriors,112,Los Angeles Clippers,94,Box Score,,"19,068",
125,8:00p,San Antonio Spurs,116,Minnesota Timberwolves,113,Box Score,,"17,222",
126,7:00p,Brooklyn Nets,117,Orlando Magic,115,Box Score,,"17,840",
127,10:30p,New Orleans Pelicans,112,Portland Trail Blazers,128,Box Score,,"19,598",
128,9:00p,Cleveland Cavaliers,99,Utah Jazz,115,Box Score,,"18,306",
129,7:30p,Boston Celtics,113,Atlanta Hawks,105,Box Score,,"16,626",
130,8:00p,Miami Heat,117,Chicago Bulls,103,Box Score,,"20,926",
131,5:00p,Phoenix Suns,115,Charlotte Hornets,135,Box Score,,"19,278",
132,10:00p,Cleveland Cavaliers,102,Denver Nuggets,124,Box Score,,"19,520",
133,7:00p,Sacramento Kings,103,Detroit Pistons,101,Box Score,,"15,377",
134,8:30p,Los Angeles Lakers,134,Houston Rockets,138,Box Score,OT,"18,055",
135,7:00p,Dallas Mavericks,99,Indiana Pacers,111,Box Score,,"17,508",
136,7:00p,Milwaukee Bucks,118,Orlando Magic,108,Box Score,,"18,846",
137,3:30p,Oklahoma City Thunder,117,Philadelphia 76ers,115,Box Score,,"20,646",
138,7:30p,Memphis Grizzlies,90,Toronto Raptors,119,Box Score,,"19,800",
139,6:00p,Charlotte Hornets,95,Indiana Pacers,120,Box Score,,"15,015",
140,7:00p,Phoenix Suns,114,Minnesota Timberwolves,116,Box Score,,"14,607",
141,7:00p,Los Angeles Clippers,103,San Antonio Spurs,95,Box Score,,"18,354",
142,3:00p,Orlando Magic,122,Atlanta Hawks,103,Box Score,,"16,611",
143,6:00p,Miami Heat,99,Boston Celtics,107,Box Score,,"18,624",
144,3:30p,Sacramento Kings,94,Brooklyn Nets,123,Box Score,,"14,233",
145,1:00p,Chicago Bulls,104,Cleveland Cavaliers,88,Box Score,,"19,432",
146,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,"18,997",
147,5:30p,New Orleans Pelicans,105,Memphis Grizzlies,85,Box Score,,"17,794",
148,2:00p,Dallas Mavericks,106,Milwaukee Bucks,116,Box Score,,"17,963",
149,12:30p,Oklahoma City Thunder,127,New York Knicks,109,Box Score,,"19,493",
150,8:00p,Houston Rockets,93,Philadelphia 76ers,121,Box Score,,"20,313",
151,9:00p,Portland Trail Blazers,109,Utah Jazz,104,Box Score,,"18,306",
152,2:00p,Detroit Pistons,87,Washington Wizards,101,Box Score,,"16,229",
153,8:30p,Los Angeles Clippers,98,Dallas Mavericks,106,Box Score,,"19,466",
154,8:00p,Portland Trail Blazers,114,Oklahoma City Thunder,123,Box Score,,"18,203",
155,9:00p,Minnesota Timberwolves,118,Phoenix Suns,91,Box Score,,"14,460",
156,7:00p,Sacramento Kings,105,Toronto Raptors,120,Box Score,,"19,800",
157,7:30p,Cleveland Cavaliers,103,Boston Celtics,123,Box Score,,"18,624",
158,7:30p,Orlando Magic,110,Brooklyn Nets,114,Box Score,,"13,185",
159,8:00p,Atlanta Hawks,121,Chicago Bulls,101,Box Score,,"18,223",
160,7:00p,Toronto Raptors,106,Indiana Pacers,110,Box Score,,"16,879",
161,8:00p,Charlotte Hornets,118,Memphis Grizzlies,107,Box Score,,"12,863",
162,7:30p,Los Angeles Clippers,111,Miami Heat,99,Box Score,,"19,600",
163,8:00p,Detroit Pistons,98,New Orleans Pelicans,94,Box Score,,"18,181",
164,7:30p,Houston Rockets,114,New York Knicks,110,Box Score,,"18,819",
165,8:00p,San Antonio Spurs,120,Philadelphia 76ers,122,Box Score,,"20,339",
166,10:30p,Denver Nuggets,108,Utah Jazz,114,Box Score,,"18,306",
167,10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,105,Box Score,,"18,997",
