,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,7:30p,Chicago Bulls,168,Atlanta Hawks,161,Box Score,4OT,"15,267",
1,8:00p,Washington Wizards,96,Boston Celtics,107,Box Score,,"18,624",
2,7:30p,Charlotte Hornets,123,Brooklyn Nets,112,Box Score,,"15,578",
3,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,"18,997",
4,9:00p,New Orleans Pelicans,130,Phoenix Suns,116,Box Score,,"14,123",
5,10:00p,Los Angeles Clippers,116,Sacramento Kings,109,Box Score,,"17,583",
6,8:00p,Portland Trail Blazers,117,Toronto Raptors,119,Box Score,,"19,800",
7,5:00p,Detroit Pistons,129,Cleveland Cavaliers,93,Box Score,,"19,432",
8,8:30p,Memphis Grizzlies,111,Dallas Mavericks,81,Box Score,,"20,233",
9,9:00p,New Orleans Pelicans,120,Denver Nuggets,112,Box Score,,"19,978",
10,7:00p,Orlando Magic,117,Indiana Pacers,112,Box Score,,"17,923",
11,7:30p,Brooklyn Nets,88,Miami Heat,117,Box Score,,"19,600",
12,8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,"20,624",
13,9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,"18,055",
14,8:30p,Oklahoma City Thunder,102,San Antonio Spurs,116,Box Score,,"18,439",
15,9:00p,Milwaukee Bucks,111,Utah Jazz,115,Box Score,,"18,306",
16,3:30p,Houston Rockets,115,Boston Celtics,104,Box Score,,"18,624",
17,3:30p,Atlanta Hawks,123,Chicago Bulls,118,Box Score,,"20,526",
18,1:00p,Portland Trail Blazers,118,Charlotte Hornets,108,Box Score,,"18,355",
19,6:00p,Orlando Magic,93,Cleveland Cavaliers,107,Box Score,,"19,432",
20,6:00p,Toronto Raptors,107,Detroit Pistons,112,Box Score,OT,"19,161",
21,3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,"19,068",
22,7:00p,Memphis Grizzlies,95,Oklahoma City Thunder,99,Box Score,,"18,203",
23,6:00p,Minnesota Timberwolves,121,Washington Wizards,135,Box Score,,"17,869",
24,7:30p,Dallas Mavericks,88,Brooklyn Nets,127,Box Score,,"17,064",
25,10:30p,Los Angeles Clippers,113,Los Angeles Lakers,105,Box Score,,"18,997",
26,7:30p,Atlanta Hawks,113,Miami Heat,114,Box Score,,"19,600",
27,9:00p,Milwaukee Bucks,105,Phoenix Suns,114,Box Score,,"18,055",
28,10:00p,New York Knicks,108,Sacramento Kings,115,Box Score,,"17,034",
29,8:30p,Denver Nuggets,103,San Antonio Spurs,104,Box Score,,"18,354",
30,9:00p,New Orleans Pelicans,115,Utah Jazz,112,Box Score,,"18,306",
31,10:30p,Boston Celtics,128,Golden State Warriors,95,Box Score,,"19,596",
32,7:00p,Chicago Bulls,96,Indiana Pacers,105,Box Score,,"15,753",
33,8:00p,Portland Trail Blazers,111,Memphis Grizzlies,120,Box Score,,"13,801",
34,8:00p,Oklahoma City Thunder,120,Minnesota Timberwolves,131,Box Score,,"15,728",
35,7:00p,Orlando Magic,106,Philadelphia 76ers,114,Box Score,,"20,379",
36,8:00p,Houston Rockets,107,Toronto Raptors,95,Box Score,,"19,800",
37,7:30p,San Antonio Spurs,111,Atlanta Hawks,104,Box Score,,"15,208",
38,7:30p,Cleveland Cavaliers,107,Brooklyn Nets,113,Box Score,,"14,177",
39,8:00p,Philadelphia 76ers,107,Chicago Bulls,108,Box Score,,"19,927",
40,7:00p,Miami Heat,91,Charlotte Hornets,84,Box Score,,"18,137",
41,7:00p,Minnesota Timberwolves,114,Detroit Pistons,131,Box Score,,"15,240",
42,10:30p,Denver Nuggets,115,Los Angeles Lakers,99,Box Score,,"18,997",
43,8:00p,Utah Jazz,114,New Orleans Pelicans,104,Box Score,,"14,681",
44,9:00p,New York Knicks,96,Phoenix Suns,107,Box Score,,"14,427",
45,10:00p,Boston Celtics,111,Sacramento Kings,109,Box Score,,"17,583",
46,7:00p,Dallas Mavericks,123,Washington Wizards,132,Box Score,,"16,867",
47,8:00p,Indiana Pacers,98,Milwaukee Bucks,117,Box Score,,"17,884",
48,10:30p,Oklahoma City Thunder,129,Portland Trail Blazers,121,Box Score,OT,"20,037",
49,8:00p,Detroit Pistons,112,Chicago Bulls,104,Box Score,,"21,048",
