,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,8:00p,Toronto Raptors,106,Cleveland Cavaliers,95,Box Score,,"19,432",
1,7:00p,Golden State Warriors,102,Detroit Pistons,111,Box Score,,"20,332",
2,8:00p,Chicago Bulls,105,Houston Rockets,121,Box Score,,"18,055",
3,8:00p,Boston Celtics,118,Minnesota Timberwolves,109,Box Score,,"17,663",
4,5:00p,Milwaukee Bucks,134,New York Knicks,136,Box Score,OT,"19,812",
5,10:00p,Indiana Pacers,110,Sacramento Kings,111,Box Score,,"17,583",
6,7:00p,Brooklyn Nets,88,Washington Wizards,102,Box Score,,"15,448",
7,5:00p,New Orleans Pelicans,119,Charlotte Hornets,109,Box Score,,"15,336",
8,7:00p,Los Angeles Clippers,110,Dallas Mavericks,114,Box Score,,"19,551",
9,3:30p,Phoenix Suns,96,Los Angeles Lakers,120,Box Score,,"18,997",
10,6:00p,Utah Jazz,100,Miami Heat,102,Box Score,,"19,600",
11,6:00p,Memphis Grizzlies,95,Philadelphia 76ers,103,Box Score,,"20,334",
12,7:00p,Portland Trail Blazers,118,San Antonio Spurs,131,Box Score,,"18,354",
13,7:30p,Golden State Warriors,128,Atlanta Hawks,111,Box Score,,"16,631",
14,7:30p,Cleveland Cavaliers,99,Brooklyn Nets,97,Box Score,,"10,983",
15,7:00p,Oklahoma City Thunder,110,Detroit Pistons,83,Box Score,,"14,372",
16,8:00p,Houston Rockets,91,Minnesota Timberwolves,103,Box Score,,"13,834",
17,8:00p,Los Angeles Clippers,129,New Orleans Pelicans,126,Box Score,,"13,822",
18,7:30p,Washington Wizards,110,New York Knicks,107,Box Score,,"19,440",
19,7:30p,Denver Nuggets,106,Toronto Raptors,103,Box Score,,"19,800",
20,8:30p,Portland Trail Blazers,102,Dallas Mavericks,111,Box Score,,"19,341",
21,7:00p,Chicago Bulls,90,Indiana Pacers,96,Box Score,,"16,446",
22,7:30p,Orlando Magic,105,Miami Heat,90,Box Score,,"19,600",
23,9:00p,Sacramento Kings,122,Phoenix Suns,105,Box Score,,"12,977",
24,9:00p,San Antonio Spurs,105,Utah Jazz,139,Box Score,,"18,306",
25,7:30p,Washington Wizards,131,Atlanta Hawks,117,Box Score,,"12,551",
