,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,7:00p,Memphis Grizzlies,92,Charlotte Hornets,100,Box Score,,"15,387",
1,10:00p,Houston Rockets,122,Denver Nuggets,136,Box Score,,"20,106",
2,8:00p,Oklahoma City Thunder,118,Miami Heat,102,Box Score,,"19,600",
3,7:30p,Boston Celtics,113,New York Knicks,99,Box Score,,"18,343",
4,9:00p,Atlanta Hawks,112,Utah Jazz,128,Box Score,,"18,306",
5,7:00p,Chicago Bulls,118,Charlotte Hornets,125,Box Score,,"19,114",
6,7:30p,Dallas Mavericks,111,Cleveland Cavaliers,98,Box Score,,"19,432",
7,5:00p,Los Angeles Clippers,111,Detroit Pistons,101,Box Score,,"17,862",
8,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,"19,596",
9,7:30p,Indiana Pacers,95,Miami Heat,88,Box Score,,"19,600",
10,9:00p,Denver Nuggets,107,Minnesota Timberwolves,106,Box Score,,"17,208",
11,7:00p,Brooklyn Nets,89,Orlando Magic,102,Box Score,,"17,385",
12,9:00p,Atlanta Hawks,118,Phoenix Suns,112,Box Score,,"15,534",
13,10:00p,Philadelphia 76ers,108,Sacramento Kings,115,Box Score,,"17,583",
14,8:30p,New Orleans Pelicans,108,San Antonio Spurs,113,Box Score,,"18,354",
15,9:00p,Houston Rockets,125,Utah Jazz,98,Box Score,,"18,306",
16,7:00p,Milwaukee Bucks,131,Washington Wizards,115,Box Score,,"20,409",
17,2:00p,Oklahoma City Thunder,129,Boston Celtics,134,Box Score,,"18,624",
18,1:00p,Memphis Grizzlies,96,New York Knicks,84,Box Score,,"17,025",
19,3:00p,Los Angeles Clippers,103,Toronto Raptors,121,Box Score,,"19,800",
20,7:30p,Milwaukee Bucks,113,Brooklyn Nets,94,Box Score,,"16,209",
21,7:00p,Denver Nuggets,103,Detroit Pistons,129,Box Score,,"12,589",
22,8:00p,Indiana Pacers,109,New Orleans Pelicans,107,Box Score,,"15,780",
23,9:00p,Houston Rockets,118,Phoenix Suns,110,Box Score,,"15,740",
24,10:00p,San Antonio Spurs,112,Sacramento Kings,127,Box Score,,"16,245",
25,7:00p,Atlanta Hawks,137,Washington Wizards,129,Box Score,,"15,025",
26,7:00p,Los Angeles Clippers,117,Charlotte Hornets,115,Box Score,,"14,300",
27,7:00p,Boston Celtics,103,Cleveland Cavaliers,96,Box Score,,"19,432",
28,7:00p,Los Angeles Lakers,94,Indiana Pacers,136,Box Score,,"17,265",
29,8:00p,Minnesota Timberwolves,106,Memphis Grizzlies,108,Box Score,,"13,454",
30,7:30p,Detroit Pistons,105,New York Knicks,92,Box Score,,"17,853",
31,8:00p,Orlando Magic,122,Oklahoma City Thunder,132,Box Score,,"18,203",
32,8:00p,Toronto Raptors,119,Philadelphia 76ers,107,Box Score,,"20,472",
33,10:30p,Miami Heat,118,Portland Trail Blazers,108,Box Score,,"19,468",
34,7:30p,Denver Nuggets,130,Brooklyn Nets,135,Box Score,,"14,516",
35,8:00p,New Orleans Pelicans,125,Chicago Bulls,120,Box Score,,"18,116",
36,8:30p,Charlotte Hornets,93,Dallas Mavericks,99,Box Score,,"19,606",
37,10:30p,San Antonio Spurs,102,Golden State Warriors,141,Box Score,,"19,596",
38,8:00p,Washington Wizards,129,Milwaukee Bucks,148,Box Score,,"17,360",
39,10:00p,Houston Rockets,127,Sacramento Kings,101,Box Score,,"17,583",
40,9:00p,Phoenix Suns,88,Utah Jazz,116,Box Score,,"18,306",
41,7:30p,Toronto Raptors,119,Atlanta Hawks,101,Box Score,,"16,036",
