,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
0,7:30p,Miami Heat,105,Boston Celtics,110,Box Score,,"18,624",
1,7:30p,Milwaukee Bucks,131,Brooklyn Nets,121,Box Score,,"17,732",
2,8:30p,Philadelphia 76ers,102,Dallas Mavericks,122,Box Score,,"19,645",
3,7:00p,Detroit Pistons,102,Indiana Pacers,111,Box Score,,"15,760",
4,8:00p,Portland Trail Blazers,132,Minnesota Timberwolves,122,Box Score,,"11,209",
5,7:30p,Chicago Bulls,105,New York Knicks,113,Box Score,,"18,874",
6,10:00p,Cleveland Cavaliers,113,Phoenix Suns,122,Box Score,,"14,050",
7,7:30p,Orlando Magic,109,Toronto Raptors,121,Box Score,,"19,800",
8,9:00p,Charlotte Hornets,102,Utah Jazz,111,Box Score,,"18,306",
9,10:30p,Denver Nuggets,102,Golden State Warriors,116,Box Score,,"19,596",
10,8:00p,Los Angeles Lakers,103,Oklahoma City Thunder,119,Box Score,,"18,203",
11,10:00p,Houston Rockets,130,Sacramento Kings,105,Box Score,,"17,583",
12,8:30p,Atlanta Hawks,111,San Antonio Spurs,117,Box Score,,"18,354",
13,7:30p,Philadelphia 76ers,122,Atlanta Hawks,130,Box Score,,"16,638",
14,7:30p,Toronto Raptors,115,Brooklyn Nets,105,Box Score,,"17,732",
15,8:30p,Minnesota Timberwolves,110,Dallas Mavericks,108,Box Score,,"19,576",
16,9:00p,San Antonio Spurs,85,Denver Nuggets,113,Box Score,,"17,643",
17,7:00p,Indiana Pacers,108,Detroit Pistons,89,Box Score,,"18,984",
18,10:30p,Houston Rockets,135,Los Angeles Clippers,103,Box Score,,"17,593",
19,7:30p,Boston Celtics,112,Miami Heat,102,Box Score,,"19,904",
20,8:00p,Charlotte Hornets,115,New Orleans Pelicans,109,Box Score,,"16,844",
21,7:00p,New York Knicks,100,Orlando Magic,114,Box Score,,"18,846",
22,10:00p,Utah Jazz,118,Phoenix Suns,97,Box Score,,"15,797",
23,10:00p,Memphis Grizzlies,89,Portland Trail Blazers,116,Box Score,,"19,608",
24,7:00p,Chicago Bulls,115,Washington Wizards,114,Box Score,,"16,616",
25,10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,"18,997",
26,8:00p,Milwaukee Bucks,128,Philadelphia 76ers,122,Box Score,,"20,701",
27,10:00p,Cleveland Cavaliers,104,Sacramento Kings,117,Box Score,,"17,583",
28,7:00p,Toronto Raptors,111,Charlotte Hornets,113,Box Score,,"18,684",
29,8:30p,Memphis Grizzlies,122,Dallas Mavericks,112,Box Score,,"20,111",
30,10:30p,Portland Trail Blazers,110,Denver Nuggets,119,Box Score,,"19,928",
31,10:30p,Cleveland Cavaliers,114,Golden State Warriors,120,Box Score,,"19,596",
32,8:00p,New York Knicks,96,Houston Rockets,120,Box Score,,"18,055",
33,8:00p,Boston Celtics,117,Indiana Pacers,97,Box Score,,"17,371",
34,10:30p,Los Angeles Lakers,122,Los Angeles Clippers,117,Box Score,,"17,910",
35,8:00p,Miami Heat,109,Minnesota Timberwolves,111,Box Score,,"17,763",
